Rank,Athlete,Nation,D,E,ND,Total,year,round
14,tyson bull,AUS,5.4,8.366,0.0,13.766,2020,qual
15,julian jato,ARG,5.0,8.5,0.0,13.5,2020,qual
16,farukh nabiyev,KAZ,5.3,8.2,0.0,13.5,2020,qual
17,noe seifert,SUI,5.8,7.633,0.0,13.433,2020,qual
18,ethan dick,NZL,4.9,8.5,0.0,13.4,2020,qual
19,mitchell morgans,AUS,5.8,7.508,0.0,13.308,2020,qual
20,filip sasnal,POL,4.2,8.633,0.0,12.833,2020,qual
21,levan skhiladze,GEO,4.6,7.816,0.0,12.416,2020,qual
22,ioane jimsheleishvili,GEO,4.6,7.733,0.0,12.333,2020,qual
23,sergei eltsov,RUS,4.5,7.7,0.0,12.2,2020,qual
24,yordan aleksandrov,BUL,5.2,6.9,0.0,12.1,2020,qual
25,sebastian gawronski,POL,4.8,7.2,0.0,12.0,2020,qual
26,carlos edriel yulo,PHI,5.9,6.0,0.0,11.9,2020,qual
27,rick jacobs,NED,4.4,6.9,0.0,11.3,2020,qual
28,lee chih-kai,,5.1,5.766,0.0,10.866,2020,qual
29,aghamurad gahramanov,AZE,4.3,6.4,0.0,10.7,2020,qual
30,nikolaos iliopoulos,GRE,4.1,6.4,0.0,10.5,2020,qual
31,murad agharzayev,AZE,5.3,5.1,0.0,10.4,2020,qual
1,kakeru tanigawa,JPN,6.2,8.65,0.0,14.85,2019,final
2,ivan stretovich,RUS,5.9,8.9,0.0,14.8,2019,final
3,ahmet önder,TUR,5.7,8.75,0.0,14.45,2019,final
4,milad karimi,KAZ,5.7,8.55,0.0,14.25,2019,final
5,marco sarrugerio,ITA,5.5,8.65,0.0,14.15,2019,final
6,stefano patron,ITA,5.5,8.55,0.0,14.05,2019,final
7,kazuma kaya,JPN,6.3,7.45,0.0,13.75,2019,final
8,lee chih-kai,none,5.8,7.9,0.0,13.7,2019,final
1,kakeru tanigawa,JPN,6.2,8.75,0.0,14.95,2019,qual
2,ahmet önder,TUR,6.2,8.6,0.0,14.8,2019,qual
3,kazuma kaya,JPN,6.3,8.15,0.0,14.45,2019,qual
4,wataru tanigawa,JPN,6.4,8.05,0.0,14.45,2019,qual
5,lee chih-kai,none,5.8,8.6,0.0,14.4,2019,qual
6,ivan stretovich,RUS,5.9,8.5,0.0,14.4,2019,qual
7,milad karimi,KAZ,5.7,8.45,0.0,14.15,2019,qual
8,marco sarrugerio,ITA,5.5,8.6,0.0,14.1,2019,qual
9,stefano patron,ITA,5.5,8.55,0.0,14.05,2019,qual
10,antoine borello,FRA,5.2,8.8,0.0,14.0,2019,qual
11,andrea russo,ITA,5.7,8.3,0.0,14.0,2019,qual
12,ivan tikhonov,AZE,5.4,8.5,0.0,13.9,2019,qual
13,lee jung-hyo,SKR,5.8,8.1,0.0,13.9,2019,qual
14,ibrahim colak,TUR,5.7,8.1,0.0,13.8,2019,qual
15,killian mermet,FRA,5.5,8.5,-0.3,13.7,2019,qual
16,tang chia-hung,none,4.4,9.25,0.0,13.65,2019,qual
17,lee seung-min,SKR,5.5,8.1,0.0,13.6,2019,qual
18,maxime gentges,BEL,5.1,8.45,0.0,13.55,2019,qual
19,marco walter,SUI,4.8,8.7,0.0,13.5,2019,qual
20,julian jato,ARG,5.0,8.5,0.0,13.5,2019,qual
21,luis porto,BRA,4.9,8.5,0.0,13.4,2019,qual
22,eduard yermakov,UKR,5.8,7.55,0.0,13.35,2019,qual
23,fabian de luna,MEX,5.4,7.9,0.0,13.3,2019,qual
24,alexander benda,AUT,4.8,8.45,0.0,13.25,2019,qual
25,vladyslav hryko,UKR,5.1,8.15,0.0,13.25,2019,qual
26,kim han-sol,SKR,5.3,7.95,0.0,13.25,2019,qual
27,bernardo almeida,POR,4.8,8.35,0.0,13.15,2019,qual
28,vinzenz höck,AUT,4.5,8.5,0.0,13.0,2019,qual
29,michael tone,AUS,4.6,8.4,0.0,13.0,2019,qual
30,kirill prokopev,RUS,5.0,8.0,0.0,13.0,2019,qual
31,jacob bonnay,CAN,4.5,8.475,0.0,12.975,2019,qual
32,franz card,FIN,4.8,8.1,0.0,12.9,2019,qual
33,hsu ping-chien,none,4.7,8.15,0.0,12.85,2019,qual
34,justin pesesse,BEL,5.2,7.65,0.0,12.85,2019,qual
35,antoine pochon,FRA,5.0,7.8,0.0,12.8,2019,qual
36,martino morosi,SUI,4.4,8.35,0.0,12.75,2019,qual
37,roland modoianu,ROU,4.8,7.85,0.0,12.65,2019,qual
38,hudson irwin,AUS,4.4,8.0,0.0,12.4,2019,qual
39,heath thorpe,AUS,3.6,8.5,0.0,12.1,2019,qual
40,fellipe ferreira,BRA,5.5,6.875,-0.3,12.075,2019,qual
41,tom nicolaou,CYP,4.8,7.1,0.0,11.9,2019,qual
42,rasuljon abdurakhimov,UZB,3.3,8.55,0.0,11.85,2019,qual
43,ivo chiapponi,ARG,3.9,7.95,0.0,11.85,2019,qual
44,nikolai rønbeck,NOR,3.8,7.85,0.0,11.65,2019,qual
45,guilherme campos,POR,3.8,7.75,0.0,11.55,2019,qual
46,abdulla azimov,UZB,4.5,7.05,0.0,11.55,2019,qual
47,batuhan yazici,NZL,3.8,7.2,0.0,11.0,2019,qual
48,robert ghiuzan,ROU,4.8,6.2,0.0,11.0,2019,qual
49,jeremy bartholomeusz,CAN,4.2,6.7,0.0,10.9,2019,qual
50,sviataslau dranitski,BLR,4.2,6.2,0.0,10.4,2019,qual
1,joe fraser,none,6.6,8.4,0.0,15.0,2019,final
2,ahmet önder,TUR,6.2,8.783,0.0,14.983,2019,final
3,kazuma kaya,JPN,6.3,8.666,0.0,14.966,2019,final
4,xiao ruoteng,CHN,6.4,8.566,0.0,14.9,2019,final
5,ferhat arican,TUR,6.5,8.4,0.0,14.9,2019,final
6,sun wei,CHN,6.2,8.266,0.0,14.466,2019,final
7,petro pakhniuk,UKR,6.5,7.7,0.0,14.2,2019,final
8,lukas dauser,none,6.3,7.533,0.0,13.833,2019,final
1,lukas dauser,none,6.3,8.733,0.0,15.033,2019,qual
2,petro pakhniuk,UKR,6.5,8.533,0.0,15.033,2019,qual
3,joe fraser,none,6.6,8.4,0.0,15.0,2019,qual
4,xiao ruoteng,CHN,6.2,8.766,0.0,14.966,2019,qual
5,ferhat arican,TUR,6.5,8.433,0.0,14.933,2019,qual
6,sun wei,CHN,6.2,8.6,0.0,14.8,2019,qual
6,ahmet önder,TUR,6.2,8.6,0.0,14.8,2019,qual
8,kazuma kaya,JPN,6.3,8.5,0.0,14.8,2019,qual
9,nikita nagornyy,RUS,6.4,8.4,0.0,14.8,2019,qual
10,oleg verniaiev,UKR,6.6,8.2,0.0,14.8,2019,qual
11,artur dalaloyan,RUS,6.4,8.333,0.0,14.733,2019,qual
12,yuya kamoto,JPN,6.5,8.2,0.0,14.7,2019,qual
13,pablo brägger,SUI,6.2,8.466,0.0,14.666,2019,qual
14,caio souza,BRA,6.1,8.533,0.0,14.633,2019,qual
15,kakeru tanigawa,JPN,6.2,8.433,0.0,14.633,2019,qual
16,zou jingyuan,CHN,6.3,8.333,0.0,14.633,2019,qual
17,christian baumann,SUI,5.9,8.666,0.0,14.566,2019,qual
18,akash modi,USA,6.1,8.433,0.0,14.533,2019,qual
19,deng shudi,CHN,6.4,8.066,0.0,14.466,2019,qual
19,dinh phuong thanh,VIE,6.4,8.066,0.0,14.466,2019,qual
21,nicolau mir,ESP,5.8,8.633,0.0,14.433,2019,qual
22,carlos edriel yulo,PHI,5.9,8.533,0.0,14.433,2019,qual
22,andrei muntean,ROU,5.9,8.533,0.0,14.433,2019,qual
22,oliver hegi,SUI,5.9,8.533,0.0,14.433,2019,qual
25,yul moldauer,USA,6.0,8.4,0.0,14.4,2019,qual
26,rasuljon abdurakhimov,UZB,5.6,8.733,0.0,14.333,2019,qual
27,epke zonderland,NED,5.9,8.433,0.0,14.333,2019,qual
28,samuel mikulak,USA,6.4,7.933,0.0,14.333,2019,qual
29,andrey likhovitskiy,BLR,5.5,8.766,0.0,14.266,2019,qual
30,jackson payne,CAN,5.8,8.466,0.0,14.266,2019,qual
30,lee jung-hyo,SKR,5.8,8.466,0.0,14.266,2019,qual
32,ivan stretovich,RUS,5.9,8.366,0.0,14.266,2019,qual
32,eddy yusof,SUI,5.9,8.366,0.0,14.266,2019,qual
34,ilias georgiou,CYP,5.4,8.7,0.0,14.1,2019,qual
35,robert tvorogal,LTU,5.6,8.5,0.0,14.1,2019,qual
36,joel plata,ESP,5.4,8.666,0.0,14.066,2019,qual
37,yevgen yudenkov,UKR,5.8,8.233,0.0,14.033,2019,qual
38,shane wiskus,USA,6.0,8.033,0.0,14.033,2019,qual
39,audrys nin reyes,DOM,5.3,8.725,0.0,14.025,2019,qual
40,yordan aleksandrov,BUL,5.5,8.508,0.0,14.008,2019,qual
41,max whitlock,none,5.3,8.7,0.0,14.0,2019,qual
42,nestor abad,ESP,5.5,8.5,0.0,14.0,2019,qual
43,cory paterson,CAN,5.6,8.4,0.0,14.0,2019,qual
43,kim han-sol,SKR,5.6,8.4,0.0,14.0,2019,qual
45,milad karimi,KAZ,5.8,8.2,0.0,14.0,2019,qual
46,lee chih kai,none,5.8,8.166,0.0,13.966,2019,qual
47,nikolaos iliopoulos,GRE,5.4,8.5,0.0,13.9,2019,qual
48,ludovico edalli,ITA,5.8,8.1,0.0,13.9,2019,qual
49,mikhail koudinov,NZL,5.9,8.0,0.0,13.9,2019,qual
50,wataru tanigawa,JPN,6.4,7.5,0.0,13.9,2019,qual
51,samuel zakutney,CAN,5.5,8.366,0.0,13.866,2019,qual
52,noah kuavita,BEL,5.6,8.266,0.0,13.866,2019,qual
53,rene cournoyer,CAN,5.2,8.6,0.0,13.8,2019,qual
54,andreas toba,none,5.3,8.5,0.0,13.8,2019,qual
55,david huddleston,BUL,5.4,8.4,0.0,13.8,2019,qual
56,vladyslav hryko,UKR,5.7,8.1,0.0,13.8,2019,qual
57,frank rijken,NED,5.6,8.166,0.0,13.766,2019,qual
58,james hall,none,5.8,7.966,0.0,13.766,2019,qual
58,daniel corral,MEX,5.8,7.966,0.0,13.766,2019,qual
60,yu chao wei,none,5.3,8.433,0.0,13.733,2019,qual
61,karl idesjö,SWE,5.4,8.333,0.0,13.733,2019,qual
62,cyril tommasone,FRA,5.3,8.4,0.0,13.7,2019,qual
63,tomas kuzmickas,LTU,5.1,8.566,0.0,13.666,2019,qual
64,artem dolgopyat,ISR,5.2,8.466,0.0,13.666,2019,qual
64,loo phay xing,MAS,5.2,8.466,0.0,13.666,2019,qual
66,vlad cotuna,ROU,5.6,8.033,0.0,13.633,2019,qual
67,alexander shatilov,ISR,5.0,8.6,0.0,13.6,2019,qual
68,akim mussayev,KAZ,5.2,8.4,0.0,13.6,2019,qual
69,francisco barretto,BRA,5.7,7.9,0.0,13.6,2019,qual
70,tang chia-hung,none,4.7,8.866,0.0,13.566,2019,qual
71,luka van den keybus,BEL,5.1,8.466,0.0,13.566,2019,qual
71,julien saleur,FRA,5.1,8.466,0.0,13.566,2019,qual
73,bart deurloo,NED,5.4,8.166,0.0,13.566,2019,qual
74,niccolo mozzato,ITA,5.5,8.066,0.0,13.566,2019,qual
75,le thanh tung,VIE,5.9,7.666,0.0,13.566,2019,qual
76,maxime gentges,BEL,5.1,8.433,0.0,13.533,2019,qual
77,matvei petrov,ALB,5.2,8.333,0.0,13.533,2019,qual
78,ibrahim colak,TUR,5.3,8.233,0.0,13.533,2019,qual
79,david belyavskiy,RUS,6.4,7.133,0.0,13.533,2019,qual
80,daniel radovesnicky,CZE,5.0,8.5,0.0,13.5,2019,qual
81,thierno diallo,ESP,5.4,8.4,-0.3,13.5,2019,qual
82,casimir schmidt,NED,5.1,8.4,0.0,13.5,2019,qual
83,tyson bull,AUS,5.4,8.1,0.0,13.5,2019,qual
84,lucas bitencourt,BRA,5.4,8.066,0.0,13.466,2019,qual
85,mitchell morgans,AUS,5.8,7.666,0.0,13.466,2019,qual
86,ryan sheppard,HUN,4.9,8.533,0.0,13.433,2019,qual
87,sofus heggemsnes,NOR,5.0,8.433,0.0,13.433,2019,qual
88,carlos calvo,COL,5.6,7.833,0.0,13.433,2019,qual
89,ivan tikhonov,AZE,5.2,8.2,0.0,13.4,2019,qual
89,tomas gonzalez,CHI,5.2,8.2,0.0,13.4,2019,qual
91,dzianis sanuvonh,BLR,4.8,8.566,0.0,13.366,2019,qual
92,oskar kirmes,FIN,5.3,8.066,0.0,13.366,2019,qual
93,hillal metidji,ALG,5.4,7.958,0.0,13.358,2019,qual
94,isaac cotto,PUR,4.9,8.45,0.0,13.35,2019,qual
95,jamorn prommanee,THA,5.3,8.033,0.0,13.333,2019,qual
96,jimmy verbaeys,BEL,5.6,7.733,0.0,13.333,2019,qual
97,lee jun-ho,SKR,5.4,7.925,0.0,13.325,2019,qual
98,loris frasca,FRA,4.9,8.366,0.0,13.266,2019,qual
99,andres martinez,COL,5.1,8.166,0.0,13.266,2019,qual
100,adickxon trejo,VEN,5.2,8.066,0.0,13.266,2019,qual
101,israel chiriboga,ECU,4.8,8.433,0.0,13.233,2019,qual
102,ilya yakauleu,BLR,4.9,8.333,0.0,13.233,2019,qual
103,antoine borello,FRA,5.2,8.033,0.0,13.233,2019,qual
104,joel alvarez,CHI,5.3,7.9,0.0,13.2,2019,qual
105,philipp herder,none,5.8,7.366,0.0,13.166,2019,qual
106,santiago mayol,ARG,4.9,8.233,0.0,13.133,2019,qual
107,ashish kumar,IND,4.9,8.2,0.0,13.1,2019,qual
108,david rumbutis,SWE,5.0,8.1,0.0,13.1,2019,qual
109,manrique larduet,CUB,5.5,7.6,0.0,13.1,2019,qual
110,rafael rosendi,CUB,5.8,7.3,0.0,13.1,2019,qual
111,david jessen,CZE,4.9,8.166,0.0,13.066,2019,qual
111,aditya rana,IND,4.9,8.166,0.0,13.066,2019,qual
113,giarnni regini-moran,none,5.7,7.366,0.0,13.066,2019,qual
114,isaac nunez,MEX,5.9,7.166,0.0,13.066,2019,qual
115,adam steele,IRL,4.3,8.733,0.0,13.033,2019,qual
116,matthias schwab,AUT,4.5,8.533,0.0,13.033,2019,qual
117,jesus moreto,PER,5.0,8.0,0.0,13.0,2019,qual
118,aleh tsiaselski,BLR,5.1,7.9,0.0,13.0,2019,qual
119,park min-soo,SKR,5.3,7.7,0.0,13.0,2019,qual
120,marios georgiou,CYP,5.6,7.4,0.0,13.0,2019,qual
121,marco lodadio,ITA,4.6,8.366,0.0,12.966,2019,qual
122,olegs ivanovs,LAT,4.7,8.266,0.0,12.966,2019,qual
123,stian skjerahaug,NOR,5.1,7.866,0.0,12.966,2019,qual
124,elias koski,FIN,4.7,8.233,0.0,12.933,2019,qual
125,robert kirmes,FIN,5.1,7.833,0.0,12.933,2019,qual
126,dawid weglarz,POL,5.2,7.733,0.0,12.933,2019,qual
127,filip sasnal,POL,4.2,8.7,0.0,12.9,2019,qual
128,eeli mikkola,FIN,4.4,8.5,0.0,12.9,2019,qual
129,ilyas azizov,KAZ,4.7,8.166,0.0,12.866,2019,qual
130,toma modoianu-zseder,ROU,4.8,8.066,0.0,12.866,2019,qual
131,benedek tomcsanyi,HUN,4.8,8.033,0.0,12.833,2019,qual
132,david vecsernyes,HUN,4.8,8.0,0.0,12.8,2019,qual
133,mohamed afify,EGY,5.2,7.6,0.0,12.8,2019,qual
134,arthur mariano,BRA,5.4,7.4,0.0,12.8,2019,qual
135,murad agharzayev,AZE,4.4,8.366,0.0,12.766,2019,qual
136,krisztofer meszaros,HUN,4.7,8.066,0.0,12.766,2019,qual
137,carlo macchini,ITA,4.8,7.966,0.0,12.766,2019,qual
138,bernardo almeida,POR,4.8,7.9,0.0,12.7,2019,qual
139,petrix barbosa,POR,5.8,6.858,0.0,12.658,2019,qual
140,artur davtyan,ARM,4.4,8.233,0.0,12.633,2019,qual
141,alexander benda,AUT,5.1,7.533,0.0,12.633,2019,qual
142,fabian de luna,MEX,5.2,7.433,0.0,12.633,2019,qual
143,michael reid,JAM,5.6,7.033,0.0,12.633,2019,qual
144,slavomir michnak,SVK,4.6,8.0,0.0,12.6,2019,qual
145,devy dyson,NZL,4.5,8.033,0.0,12.533,2019,qual
146,andres perez,PUR,5.0,7.5,0.0,12.5,2019,qual
147,uche eke,NGR,4.8,7.633,0.0,12.433,2019,qual
148,ahmed al dyani,QAT,5.4,6.966,0.0,12.366,2019,qual
149,ri wi chol,none,5.2,7.133,0.0,12.333,2019,qual
150,michael tone,AUS,4.6,7.7,0.0,12.3,2019,qual
150,hsu ping chien,none,4.6,7.7,0.0,12.3,2019,qual
152,abdulla azimov,UZB,4.9,7.366,0.0,12.266,2019,qual
153,karim rida,none,4.7,7.533,0.0,12.233,2019,qual
154,vinzenz höck,AUT,4.3,7.9,0.0,12.2,2019,qual
155,konstantin kuzovkov,GEO,4.5,7.7,0.0,12.2,2019,qual
156,pietro giachino,NOR,4.8,7.4,0.0,12.2,2019,qual
157,jose lopez,PUR,5.0,7.2,0.0,12.2,2019,qual
158,martin gudmundsson,ISL,3.7,8.466,0.0,12.166,2019,qual
159,tarik soto,CRC,4.3,7.866,0.0,12.166,2019,qual
160,bidzina sitchinava,GEO,4.7,7.466,0.0,12.166,2019,qual
161,daniel villafañe,ARG,4.9,7.233,0.0,12.133,2019,qual
162,ioane jimsheleishvili,GEO,4.4,7.7,0.0,12.1,2019,qual
163,joseph fox,TRI,4.4,7.666,0.0,12.066,2019,qual
164,vitalijs kardasovrs,LAT,4.6,7.433,0.0,12.033,2019,qual
165,reiss beckford,JAM,5.2,6.833,0.0,12.033,2019,qual
166,andres valverde,CRC,3.4,8.566,0.0,11.966,2019,qual
167,fabio chicas,ESA,4.0,7.966,0.0,11.966,2019,qual
168,kevin crovetto,MON,4.1,7.833,0.0,11.933,2019,qual
168,arian leon prado,PER,4.1,7.833,0.0,11.933,2019,qual
170,saleem naghouj,JOR,4.5,7.366,0.0,11.866,2019,qual
171,bojan dejanovic,SRB,4.3,7.5,0.0,11.8,2019,qual
172,yogeshwar singh,IND,4.7,7.066,0.0,11.766,2019,qual
173,enkhtulga altansukh,MGL,4.7,7.0,0.0,11.7,2019,qual
174,lukasz borkowski,POL,4.9,6.733,0.0,11.633,2019,qual
175,valgard reinhardsson,ISL,4.4,7.2,0.0,11.6,2019,qual
176,odin kalvø,NOR,4.3,7.266,0.0,11.566,2019,qual
177,yunus gündogdu,TUR,4.6,6.866,0.0,11.466,2019,qual
178,rihards trams,LAT,4.1,7.266,0.0,11.366,2019,qual
179,victor rostagno,URU,4.6,6.566,0.0,11.166,2019,qual
180,abellino rubio,GUA,4.9,6.0,0.0,10.9,2019,qual
181,razvan-denis marc,ROU,4.4,6.466,0.0,10.866,2019,qual
182,vlada rakovic,SRB,4.4,6.366,0.0,10.766,2019,qual
183,gerardo cabrera,URU,3.1,7.533,0.0,10.633,2019,qual
184,khabibullo ergashev,UZB,3.6,7.033,0.0,10.633,2019,qual
185,frantisek cerny,CZE,4.3,6.266,0.0,10.566,2019,qual
186,meshari al deriwish,KUW,2.5,7.666,0.0,10.166,2019,qual
187,petar vefic,SRB,4.1,5.933,0.0,10.033,2019,qual
188,manuel martinez,COL,5.2,5.133,-0.3,10.033,2019,qual
189,yerbol jantykov,KAZ,4.6,4.966,0.0,9.566,2019,qual
190,nabil zouhair,MAR,3.0,6.266,0.0,9.266,2019,qual
191,sabah al subaiei,KUW,1.7,7.2,-4.0,4.9,2019,qual
192,ali al jafar,KUW,1.7,6.433,-4.0,4.133,2019,qual
1,you hao,CHN,6.8,8.266,0.0,15.066,2019,final
2,ahmet önder,TUR,6.2,8.433,0.0,14.633,2019,final
3,ferhat arican,TUR,6.5,7.866,0.0,14.366,2019,final
4,mitchell morgans,AUS,6.0,8.2,0.0,14.2,2019,final
5,hibiki arayashiki,JPN,5.9,8.166,0.0,14.066,2019,final
6,mikhail koudinov,NZL,5.9,7.033,0.0,12.933,2019,final
7,akim mussayev,KAZ,5.6,6.666,0.0,12.266,2019,final
8,tomomasa hasegawa,JPN,5.1,6.366,0.0,11.466,2019,final
1,ahmet önder,TUR,6.2,8.266,0.0,14.466,2019,qual
2,hibiki arayashiki,JPN,5.7,8.666,0.0,14.366,2019,qual
3,you hao,CHN,6.5,7.8,0.0,14.3,2019,qual
4,ferhat arican,TUR,6.5,7.733,0.0,14.233,2019,qual
5,mitchell morgans,AUS,6.0,7.966,0.0,13.966,2019,qual
6,mikhail koudinov,NZL,5.9,8.033,0.0,13.933,2019,qual
7,akim mussayev,KAZ,5.9,7.891,0.0,13.791,2019,qual
8,tomomasa hasegawa,JPN,5.6,7.966,0.0,13.566,2019,qual
9,tyson bull,AUS,5.4,7.966,0.0,13.366,2019,qual
10,milad karimi,KAZ,5.7,7.533,0.0,13.233,2019,qual
11,valgard reinhardsson,ISL,4.9,8.2,0.0,13.1,2019,qual
12,bram louwije,NED,5.5,6.9,0.0,12.4,2019,qual
13,tang chia-hung,none,5.0,6.1,0.0,11.1,2019,qual
1,sam mikulak,USA,6.4,8.59,0.0,29.4,2020,final
1,sam mikulak,USA,6.5,7.55,0.0,29.4,2020,final
2,grant breckenridge,USA,5.4,9.2,0.0,29.05,2020,final
2,grant breckenridge,USA,5.7,8.75,0.0,29.05,2020,final
3,yul moldauer,USA,6.1,8.0,0.0,28.2,2020,final
3,yul moldauer,USA,5.9,8.2,0.0,28.2,2020,final
4,akash modi,USA,6.1,7.95,0.0,27.95,2020,final
4,akash modi,USA,6.1,7.8,0.0,27.95,2020,final
5,robert neff,USA,5.8,8.1,0.0,27.5,2020,final
5,robert neff,USA,5.8,7.8,0.0,27.5,2020,final
6,colin van wicklen,USA,5.7,8.0,0.0,27.1,2020,final
6,colin van wicklen,USA,5.7,7.7,0.0,27.1,2020,final
7,colt walker,USA,5.6,8.1,0.0,27.05,2020,final
7,colt walker,USA,5.5,7.85,0.0,27.05,2020,final
7,gage dyer,USA,5.3,8.55,0.0,27.05,2020,final
7,gage dyer,USA,5.3,7.9,0.0,27.05,2020,final
9,ian gunther,USA,5.5,8.15,0.0,27.0,2020,final
9,ian gunther,USA,5.5,7.85,0.0,27.0,2020,final
10,kiwan watts,USA,5.6,8.25,0.0,26.9,2020,final
10,kiwan watts,USA,5.2,7.85,0.0,26.9,2020,final
10,isaiah drake,USA,5.3,8.4,0.0,26.9,2020,final
10,isaiah drake,USA,5.2,8.0,0.0,26.9,2020,final
12,paul juda,USA,5.4,8.2,0.0,26.8,2020,final
12,paul juda,USA,5.4,7.8,0.0,26.8,2020,final
13,cameron bock,USA,5.7,8.15,0.0,26.75,2020,final
13,cameron bock,USA,5.7,7.2,0.0,26.75,2020,final
14,sean melton,USA,6.0,8.1,0.0,26.55,2020,final
14,sean melton,USA,6.0,6.45,0.0,26.55,2020,final
15,timothy wang,USA,5.9,7.15,0.0,26.2,2020,final
15,timothy wang,USA,5.9,7.25,0.0,26.2,2020,final
16,adrian de los angeles,USA,5.6,7.05,0.0,25.5,2020,final
16,adrian de los angeles,USA,5.7,7.15,0.0,25.5,2020,final
17,nicolas kuebler,USA,5.0,7.95,0.0,24.5,2020,final
17,nicolas kuebler,USA,4.5,7.05,0.0,24.5,2020,final
18,michael moran,USA,4.7,7.75,0.0,24.4,2020,final
18,michael moran,USA,4.7,7.25,0.0,24.4,2020,final
