Rank,FX,PH,SR,VT,PB,HB,AA,Nation,year,Name,round_final,round_qual
1.0,14.733,15.075,13.333,15.066,15.2,14.633,88.04,Japan,2021,141,False,True
2.0,14.133,14.666,14.866,14.766,15.3,14.166,87.897,China,2021,411,False,True
3.0,14.066,12.666,14.533,14.966,14.366,13.833,84.43,Turkey,2021,7,False,True
4.0,13.2,13.466,13.933,14.233,15.2,13.866,83.898,China,2021,342,False,True
5.0,14.333,13.766,12.5,14.066,14.7,14.2,83.565,Ukraine,2021,159,False,True
6.0,14.033,13.6,12.933,14.2,14.566,13.3,82.632,Hungary,2021,215,False,True
7.0,13.633,11.866,13.5,14.366,14.766,14.233,82.364,Cyprus,2021,158,False,True
8.0,13.4,12.866,13.933,14.2,14.7,12.966,82.065,Turkey,2021,13,False,True
9.0,14.133,13.633,13.3,14.066,13.666,13.1,81.898,Spain,2021,185,False,True
10.0,13.433,13.233,13.1,13.8,14.6,13.6,81.766,Lithuania,2021,324,False,True
11.0,13.9,11.233,14.733,14.666,13.833,13.133,81.498,Canada,2021,391,False,True
12.0,13.966,12.7,12.433,14.333,14.0,13.666,81.098,Belgium,2021,232,False,True
13.0,14.433,10.633,13.466,14.433,14.866,13.233,81.064,States,2021,404,False,True
14.0,13.1,12.966,13.333,13.833,13.933,13.8,80.965,Switzerland,2021,144,False,True
15.0,13.433,15.033,12.6,14.4,12.133,13.166,80.765,Britain,2021,193,False,True
16.0,14.941,11.6,12.133,12.966,14.633,14.433,80.706,Kazakhstan,2021,259,False,True
17.0,13.666,10.233,14.033,14.666,14.8,13.2,80.598,Brazil,2021,57,False,True
18.0,14.233,12.933,13.466,13.8,13.566,12.5,80.498,Spain,2021,271,False,True
19.0,12.966,13.366,13.0,14.233,13.933,13.3,80.498,Norway,2021,344,False,True
20.0,13.3,13.433,12.3,14.3,13.866,12.866,80.065,Colombia,2021,194,False,True
21.0,13.733,12.766,12.2,13.766,13.933,12.9,79.298,Finland,2021,294,False,True
22.0,12.6,14.066,12.4,13.933,13.5,12.6,79.099,Israel,2021,111,False,True
23.0,12.366,11.866,12.766,14.008,13.5,13.433,77.939,Russia,2021,281,False,True
24.0,13.6,12.5,11.966,14.2,11.3,14.066,77.632,Belgium,2021,287,False,True
25.0,12.566,12.666,12.6,13.766,12.633,13.366,77.597,Austria,2021,17,False,True
26.0,13.733,13.5,12.666,13.933,11.966,11.766,77.564,Finland,2021,322,False,True
27.0,12.5,11.666,13.133,13.766,13.533,12.833,77.431,Greece,2021,285,False,True
28.0,13.866,13.533,10.933,13.833,13.1,12.133,77.398,Colombia,2021,24,False,True
29.0,12.566,11.466,12.033,13.9,14.566,12.833,76.964,Norway,2021,138,False,True
30.0,13.266,12.633,12.133,14.2,13.466,10.8,76.498,India,2021,399,False,True
31.0,13.566,11.3,12.266,14.0,13.366,12.0,76.498,Germany,2021,61,False,True
32.0,13.166,11.833,12.3,13.833,12.966,11.833,75.931,Austria,2021,317,False,True
33.0,13.4,12.4,12.766,13.866,11.4,11.966,75.798,Lithuania,2021,372,False,True
34.0,10.933,10.8,14.166,13.5,13.333,12.7,75.432,Vietnam,2021,273,False,True
35.0,11.6,11.2,12.466,13.566,13.9,12.566,75.298,Bulgaria,2021,401,False,True
36.0,13.166,11.833,11.866,13.766,12.466,12.133,75.23,Iceland,2021,383,False,True
37.0,11.833,13.166,12.45,13.816,12.833,10.933,75.031,Hungary,2021,46,False,True
38.0,12.733,11.3,10.933,13.966,14.333,11.7,74.965,Netherlands,2021,180,False,True
39.0,12.733,13.7,11.733,12.033,12.966,11.4,74.565,Lithuania,2021,136,False,True
40.0,14.166,10.633,12.9,13.2,12.8,10.733,74.432,Korea,2021,222,False,True
41.0,13.366,11.066,10.8,13.9,12.933,12.266,74.331,Portugal,2021,190,False,True
42.0,12.566,11.3,11.566,12.566,13.6,12.733,74.331,Ecuador,2021,163,False,True
43.0,13.466,10.166,12.633,13.9,12.666,10.966,73.797,Portugal,2021,135,False,True
44.0,13.8,11.8,9.825,13.233,12.7,12.4,73.758,Sweden,2021,210,False,True
45.0,12.966,11.7,11.433,14.3,12.2,11.033,73.632,Belarus,2021,355,False,True
46.0,12.666,11.733,11.166,12.433,13.2,12.133,73.331,India,2021,4,False,True
47.0,13.166,10.7,11.2,13.9,11.766,12.2,72.932,Republic,2021,121,False,True
48.0,12.7,10.566,11.5,13.733,12.133,12.266,72.898,Iceland,2021,187,False,True
49.0,11.833,12.0,11.7,13.733,13.133,10.266,72.665,Taiwan,2021,148,False,True
50.0,14.566,14.933,13.966,0.0,14.833,13.966,72.264,Japan,2021,200,False,True
51.0,10.933,10.733,10.666,13.833,12.866,11.5,70.531,Bulgaria,2021,364,False,True
52.0,9.9,11.833,11.566,13.033,9.166,12.233,67.731,Latvia,2021,318,False,True
53.0,14.6,0.0,13.0,14.066,12.666,13.333,67.665,Korea,2021,327,False,True
54.0,12.466,13.966,12.833,0.0,14.3,13.2,66.765,Korea,2021,221,False,True
55.0,11.966,11.5,12.733,13.166,13.233,0.0,62.598,Vietnam,2021,384,False,True
56.0,12.766,11.2,0.0,13.833,12.5,12.266,62.565,Iceland,2021,243,False,True
57.0,9.933,6.866,11.133,12.633,11.533,9.333,61.431,Panama,2021,295,False,True
58.0,10.7,11.866,0.0,13.9,13.566,11.3,61.332,Egypt,2021,262,False,True
59.0,11.2,0.0,9.766,13.9,14.066,12.0,60.932,Kazakhstan,2021,113,False,True
60.0,10.233,3.8,4.7,13.3,10.633,9.833,52.499,Thailand,2021,354,False,True
61.0,13.333,0.0,12.733,0.0,13.8,11.8,51.666,Egypt,2021,291,False,True
62.0,0.0,10.733,12.966,0.0,14.3,13.0,50.999,Taiwan,2021,149,False,True
63.0,0.0,11.466,12.333,0.0,14.4,12.733,50.932,Germany,2021,133,False,True
64.0,13.466,11.533,0.0,0.0,13.2,11.633,49.832,Portugal,2021,48,False,True
65.0,13.966,0.0,11.466,12.9,0.0,10.633,48.965,Thailand,2021,367,False,True
66.0,7.433,0.0,0.0,13.566,14.733,13.166,48.898,Mexico,2021,161,False,True
67.0,0.0,12.666,13.1,0.0,9.933,12.633,48.332,Britain,2021,191,False,True
68.0,15.166,0.0,0.0,14.733,15.566,0.0,45.465,Philippines,2021,63,False,True
69.0,14.966,13.8,0.0,14.7,0.0,0.0,43.466,Italy,2021,276,False,True
70.0,14.008,0.0,0.0,14.966,14.433,0.0,43.407,Ukraine,2021,269,False,True
71.0,12.933,0.0,0.0,14.233,14.466,0.0,41.632,Spain,2021,279,False,True
72.0,13.166,0.0,0.0,14.333,13.466,0.0,40.965,Mexico,2021,176,False,True
73.0,0.0,14.533,0.0,0.0,14.433,11.9,40.866,Russia,2021,337,False,True
74.0,14.0,11.966,0.0,0.0,14.4,0.0,40.366,Italy,2021,280,False,True
75.0,0.0,12.6,0.0,0.0,14.8,12.8,40.2,Cyprus,2021,240,False,True
76.0,13.633,12.266,0.0,14.3,0.0,0.0,40.199,Germany,2021,80,False,True
77.0,13.7,0.0,0.0,12.9,13.333,0.0,39.933,Germany,2021,115,False,True
78.0,12.9,0.0,12.733,13.933,0.0,0.0,39.566,Egypt,2021,410,False,True
79.0,13.966,12.366,0.0,13.2,0.0,0.0,39.532,Switzerland,2021,27,False,True
80.0,13.666,0.0,0.0,0.0,14.4,11.033,39.099,Canada,2021,315,False,True
81.0,0.0,12.666,0.0,13.066,12.333,0.0,38.065,Egypt,2021,10,False,True
82.0,13.933,0.0,12.3,0.0,0.0,11.8,38.033,Ukraine,2021,326,False,True
83.0,13.033,0.0,11.466,0.0,13.166,0.0,37.665,Israel,2021,302,False,True
84.0,11.966,0.0,0.0,13.966,11.7,0.0,37.632,Vietnam,2021,373,False,True
85.0,10.95,0.0,12.2,12.933,0.0,0.0,36.083,Hungary,2021,5,False,True
86.0,0.0,11.0,12.1,10.083,0.0,0.0,33.183,India,2021,38,False,True
87.0,0.0,0.0,0.0,0.0,15.233,14.533,29.766,China,2021,146,False,True
88.0,0.0,0.0,14.666,14.533,0.0,0.0,29.199,Britain,2021,76,False,True
89.0,13.866,0.0,0.0,15.033,0.0,0.0,28.899,States,2021,96,False,True
90.0,0.0,13.9,0.0,0.0,14.666,0.0,28.566,Ukraine,2021,304,False,True
91.0,13.766,0.0,0.0,14.566,0.0,0.0,28.332,Belarus,2021,394,False,True
92.0,14.266,0.0,0.0,0.0,0.0,14.0,28.266,Russia,2021,165,False,True
93.0,13.933,14.233,0.0,0.0,0.0,0.0,28.166,Taiwan,2021,343,False,True
94.0,0.0,13.966,0.0,0.0,14.133,0.0,28.099,Netherlands,2021,120,False,True
95.0,0.0,13.466,0.0,0.0,14.566,0.0,28.032,Switzerland,2021,289,False,True
96.0,14.2,0.0,0.0,13.766,0.0,0.0,27.966,Republic,2021,293,False,True
97.0,13.433,0.0,0.0,14.3,0.0,0.0,27.733,Sweden,2021,117,False,True
98.0,12.8,0.0,0.0,14.833,0.0,0.0,27.633,Italy,2021,366,False,True
99.0,0.0,13.933,0.0,0.0,13.633,0.0,27.566,Canada,2021,408,False,True
100.0,0.0,13.566,0.0,0.0,0.0,13.8,27.366,Israel,2021,19,False,True
100.0,13.233,0.0,0.0,14.133,0.0,0.0,27.366,Russia,2021,264,False,True
102.0,0.0,13.766,0.0,0.0,13.533,0.0,27.299,Russia,2021,388,False,True
103.0,0.0,14.166,0.0,0.0,0.0,13.066,27.232,Ukraine,2021,389,False,True
104.0,0.0,0.0,13.666,0.0,0.0,13.4,27.066,Canada,2021,114,False,True
105.0,0.0,13.033,0.0,0.0,0.0,13.9,26.933,Belgium,2021,252,False,True
106.0,0.0,0.0,14.133,0.0,12.2,0.0,26.333,Taiwan,2021,224,False,True
107.0,12.766,0.0,0.0,13.366,0.0,0.0,26.132,Taiwan,2021,375,False,True
108.0,11.466,0.0,0.0,14.633,0.0,0.0,26.099,Britain,2021,95,False,True
108.0,0.0,0.0,12.833,13.266,0.0,0.0,26.099,Sweden,2021,82,False,True
