Rank,Athlete,FX,PH,SR,VT,PB,HB,AA,round,Nation,year
1.0,vitaliy guimaraes,14.25,14.35,13.6,14.45,13.9,13.4,83.95,final,USA,2022
2.0,khoi young,13.55,15.342,12.55,15.244,13.75,13.1,83.536,final,USA,2022
3.0,asher hong,14.029,12.949,14.566,16.68,14.355,10.45,83.029,final,USA,2022
4.0,yul moldauer,13.4,13.789,14.116,13.4,15.543,11.4,81.648,final,USA,2022
5.0,colt walker,12.45,12.75,13.25,14.897,15.055,13.1,81.502,final,USA,2022
6.0,taylor burkhart,13.2,13.6,12.95,14.594,14.15,12.7,81.194,final,USA,2022
7.0,ian lasic-ellis,13.65,13.5,13.75,13.55,13.3,13.3,81.05,final,USA,2022
8.0,riley loos,12.7,13.6,13.6,14.747,14.1,12.3,81.047,final,USA,2022
9.0,colin van,13.45,11.7,13.3,14.847,13.7,13.15,80.147,final,USA,2022
10.0,zachary nunez,12.6,13.6,12.95,14.0,13.4,13.15,79.7,final,USA,2022
11.0,fuzzy benas,13.2,11.8,13.2,14.4,13.75,12.95,79.3,final,USA,2022
12.0,raydel gamboa,13.45,11.85,11.9,14.1,14.05,13.45,78.8,final,USA,2022
13.0,ian gunther,13.15,13.2,13.5,13.45,12.1,13.25,78.65,final,USA,2022
14.0,michael jaroh,11.2,12.7,13.5,13.35,14.1,13.65,78.5,final,USA,2022
15.0,isaiah drake,13.15,12.7,12.15,14.25,12.85,12.95,78.05,final,USA,2022
16.0,nicolas kuebler,12.15,12.95,13.05,13.45,13.2,13.15,77.95,final,USA,2022
17.0,evan davis,13.35,11.35,13.2,14.1,13.25,12.55,77.8,final,USA,2022
18.0,mike fletcher,12.4,13.35,12.9,13.15,13.15,12.4,77.35,final,USA,2022
19.0,jeremy bischoff,12.55,12.05,12.65,13.9,13.05,12.85,77.05,final,USA,2022
20.0,jack freeman,13.25,11.2,12.8,13.95,12.05,13.35,76.6,final,USA,2022
21.0,mathew davis,13.4,12.55,12.85,13.7,11.7,12.05,76.25,final,USA,2022
