Rank,D,E,ND,Total,year,medal,Name,Nation,round_final,round_qual
1,6.4,8.766,0.0,15.166,2019.0,1,150,13,True,False
2,6.4,8.733,0.0,15.133,2019.0,0,264,13,True,False
3,6.2,8.766,0.0,14.966,2019.0,0,30,9,True,False
4,6.2,8.4,0.0,14.6,2019.0,0,133,39,True,False
5,6.4,8.2,0.0,14.6,2019.0,0,53,76,True,False
6,6.3,8.266,0.0,14.566,2019.0,0,99,70,True,False
7,6.2,8.2,0.0,14.4,2019.0,0,18,21,True,False
8,6.1,7.9,0.0,14.0,2019.0,0,219,11,True,False
1,6.4,8.6,0.0,15.0,2019.0,1,150,13,False,True
2,6.4,8.333,0.0,14.733,2019.0,0,264,13,False,True
3,6.1,8.6,0.0,14.7,2019.0,0,30,9,False,True
4,6.4,8.3,0.0,14.7,2019.0,0,53,76,False,True
5,6.3,8.333,0.0,14.633,2019.0,0,99,70,False,True
6,6.2,7.966,0.0,14.166,2019.0,0,18,21,False,True
7,6.1,8.0,0.0,14.1,2019.0,0,219,11,False,True
8,6.2,7.833,0.0,14.033,2019.0,0,133,39,False,True
9,5.8,8.0,0.0,13.8,2019.0,0,9,69,False,True
10,5.9,7.666,0.0,13.566,2019.0,0,78,2,False,True
11,5.7,7.666,0.0,13.366,2019.0,0,48,49,False,True
12,5.9,7.466,0.0,13.366,2019.0,0,57,2,False,True
13,5.8,7.2,0.0,13.0,2019.0,0,223,25,False,True
14,4.9,7.6,0.0,12.5,2019.0,0,96,76,False,True
15,5.0,7.1,0.0,12.1,2019.0,0,175,4,False,True
16,4.3,4.466,0.0,8.766,2019.0,0,255,60,False,True
1,6.3,8.8,0.0,15.1,,1,73,27,False,False
2,6.4,8.6,0.0,15.0,,1,150,13,False,False
3,6.4,8.533,0.0,14.933,,0,143,13,False,False
4,6.2,8.566,0.0,14.766,,0,30,9,False,False
5,6.2,8.433,0.0,14.633,,0,53,77,False,False
6,6.0,8.6,0.0,14.6,,0,99,70,False,False
7,6.2,8.233,0.0,14.433,,0,18,21,False,False
8,6.0,8.133,0.0,14.133,,0,184,29,False,False
9,6.1,7.758,0.0,13.858,,0,141,27,False,False
10,5.9,7.933,0.0,13.833,,0,267,69,False,False
11,5.5,8.266,0.0,13.766,,0,17,59,False,False
12,5.7,8.033,0.0,13.733,,0,0,69,False,False
13,5.9,7.8,0.0,13.7,,0,78,2,False,False
14,6.2,7.266,0.0,13.466,,0,159,32,False,False
15,6.0,7.433,0.0,13.433,,0,115,6,False,False
16,4.9,8.333,0.0,13.233,,0,179,4,False,False
17,5.7,7.533,0.0,13.233,,0,163,64,False,False
18,5.0,8.066,0.0,13.066,,0,212,49,False,False
19,5.3,7.6,0.0,12.9,,0,235,39,False,False
20,5.7,7.133,0.0,12.833,,0,110,6,False,False
21,4.6,8.133,0.0,12.733,,0,227,54,False,False
22,5.1,7.633,0.0,12.733,,0,48,49,False,False
23,4.5,8.066,0.0,12.566,,0,67,40,False,False
24,5.3,7.0,0.0,12.3,,0,149,77,False,False
25,4.2,7.633,0.0,11.833,,0,81,54,False,False
26,3.6,8.0,0.0,11.6,,0,140,26,False,False
27,4.4,6.333,0.0,10.733,,0,246,77,False,False
1,5.9,9.0,0.0,14.9,2019.0,0,31,3,True,False
2,6.2,8.6,0.0,14.8,2019.0,0,98,69,True,False
2,6.2,8.6,0.0,14.8,2019.0,0,249,5,True,False
4,6.0,8.65,0.0,14.65,2019.0,0,254,39,True,False
5,6.0,8.45,0.0,14.45,2019.0,0,9,69,True,False
6,6.1,8.35,0.0,14.45,2019.0,0,132,39,True,False
7,5.8,8.5,0.0,14.3,2019.0,0,15,72,True,False
8,5.5,8.625,0.0,14.125,2019.0,0,236,76,True,False
1,6.2,8.65,0.0,14.85,2019.0,0,98,69,False,True
2,5.9,8.85,0.0,14.75,2019.0,0,31,3,False,True
3,5.9,8.55,0.0,14.45,2019.0,0,249,5,False,True
4,6.0,8.45,0.0,14.45,2019.0,0,254,39,False,True
5,5.8,8.55,0.0,14.35,2019.0,0,15,72,False,True
6,6.1,8.2,0.0,14.3,2019.0,0,132,39,False,True
7,5.5,8.75,0.0,14.25,2019.0,0,236,76,False,True
8,6.0,8.25,0.0,14.25,2019.0,0,9,69,False,True
9,5.5,8.55,0.0,14.05,2019.0,0,164,36,False,True
10,5.5,8.475,0.0,13.975,2019.0,0,19,36,False,True
11,5.4,8.55,0.0,13.95,2019.0,0,129,39,False,True
12,5.8,8.1,0.0,13.9,2019.0,0,76,46,False,True
13,5.5,8.375,0.0,13.875,2019.0,0,71,70,False,True
14,5.6,8.25,0.0,13.85,2019.0,0,147,61,False,True
15,5.5,8.3,0.0,13.8,2019.0,0,253,70,False,True
16,5.0,8.6,0.0,13.6,2019.0,0,138,59,False,True
17,5.5,8.1,0.0,13.6,2019.0,0,137,61,False,True
18,6.2,7.4,0.0,13.6,2019.0,0,101,59,False,True
