Rank,FX,PH,SR,VT,PB,HB,AA,year,medal,Name,Nation,round_final,round_qual
83.0,13.1,11.5,12.7,13.533,12.633,13.5,76.998,2019.0,0,19,5,False,True
84.0,13.633,11.933,12.166,13.833,12.933,12.4,76.898,2019.0,0,280,26,False,True
85.0,12.6,12.333,12.7,13.533,13.9,11.733,76.799,2019.0,0,226,55,False,True
86.0,12.0,12.733,11.966,13.033,13.433,13.5,76.665,2019.0,0,65,14,False,True
87.0,11.833,12.466,12.433,13.7,13.666,12.566,76.664,2019.0,0,191,48,False,True
88.0,12.5,12.1,12.8,13.8,12.3,13.133,76.633,2019.0,0,127,83,False,True
89.0,12.266,12.566,13.5,13.733,12.658,11.866,76.589,2019.0,0,259,59,False,True
90.0,12.533,12.233,12.333,13.7,12.8,12.7,76.299,2019.0,0,230,23,False,True
91.0,13.133,12.033,12.366,13.3,12.5,12.9,76.232,2019.0,0,29,60,False,True
92.0,12.866,12.7,12.266,13.733,11.766,12.766,76.097,2019.0,0,343,34,False,True
93.0,11.7,10.133,13.166,13.733,14.1,13.2,76.032,2019.0,0,132,18,False,True
94.0,12.566,12.466,11.166,13.8,13.266,12.633,75.897,2019.0,0,4,81,False,True
95.0,13.366,11.766,12.466,13.966,11.6,12.7,75.864,2019.0,0,326,37,False,True
96.0,12.0,12.566,12.5,13.533,12.866,12.266,75.731,2019.0,0,134,43,False,True
97.0,11.433,12.1,13.158,12.866,13.533,12.566,75.656,2019.0,0,215,0,False,True
98.0,13.266,12.466,12.866,12.7,12.2,12.1,75.598,2019.0,0,264,54,False,True
99.0,14.1,10.566,11.233,13.966,12.966,12.633,75.464,2019.0,0,306,54,False,True
100.0,12.4,11.166,13.3,12.9,12.533,13.033,75.332,2019.0,0,90,55,False,True
101.0,13.2,12.366,11.5,13.466,12.933,11.733,75.198,2019.0,0,87,58,False,True
102.0,13.6,9.466,12.866,13.366,13.733,12.166,75.197,2019.0,0,170,70,False,True
103.0,12.266,10.841,12.575,13.266,13.1,13.066,75.114,2019.0,0,266,17,False,True
104.0,12.066,12.6,12.766,13.933,13.35,10.366,75.081,2019.0,0,136,60,False,True
105.0,12.966,10.6,11.733,13.333,13.5,12.9,75.032,2019.0,0,80,19,False,True
106.0,12.366,13.133,12.1,13.4,12.366,11.666,75.031,2019.0,0,10,61,False,True
107.0,12.833,10.3,12.266,13.866,12.966,12.733,74.964,2019.0,0,251,45,False,True
108.0,12.533,10.633,12.533,13.766,12.833,12.666,74.964,2019.0,0,48,32,False,True
109.0,12.933,10.866,12.966,13.666,12.033,12.433,74.897,2019.0,0,272,40,False,True
110.0,12.4,10.833,14.066,14.0,12.633,10.933,74.865,2019.0,0,105,49,False,True
111.0,12.3,11.0,13.266,13.975,12.133,12.133,74.807,2019.0,0,81,2,False,True
112.0,13.033,10.933,11.933,13.366,13.666,11.733,74.664,2019.0,0,322,46,False,True
113.0,13.066,9.9,12.733,13.666,12.7,12.533,74.598,2019.0,0,52,59,False,True
114.0,13.0,11.966,11.766,13.6,11.8,12.433,74.565,2019.0,0,54,67,False,True
115.0,12.366,12.8,11.466,14.0,13.358,10.566,74.556,2019.0,0,126,1,False,True
116.0,13.133,12.666,12.866,12.333,10.633,12.666,74.297,2019.0,0,174,79,False,True
117.0,13.033,11.133,12.133,13.733,12.766,11.4,74.198,2019.0,0,232,6,False,True
118.0,13.933,10.5,12.533,13.566,12.2,11.433,74.165,2019.0,0,180,28,False,True
119.0,13.133,9.533,12.066,13.6,13.033,12.7,74.065,2019.0,0,214,5,False,True
120.0,12.833,11.533,12.566,13.766,11.633,11.666,73.997,2019.0,0,199,58,False,True
121.0,12.0,11.533,12.566,12.666,12.9,12.2,73.865,2019.0,0,109,58,False,True
122.0,13.5,10.1,12.766,12.4,13.1,11.766,73.632,2019.0,0,44,34,False,True
123.0,12.866,11.5,11.833,13.633,11.366,12.366,73.564,2019.0,0,278,45,False,True
124.0,12.633,12.2,12.2,12.1,13.233,11.166,73.532,2019.0,0,139,22,False,True
125.0,12.866,8.633,12.066,13.733,13.2,12.9,73.398,2019.0,0,155,12,False,True
126.0,13.0,11.4,12.333,13.4,10.866,12.233,73.232,2019.0,0,271,62,False,True
127.0,12.6,11.8,11.0,13.416,13.0,11.333,73.149,2019.0,0,150,56,False,True
128.0,13.0,10.533,12.766,12.133,13.066,11.6,73.098,2019.0,0,5,34,False,True
129.0,11.3,12.366,12.133,12.133,12.6,12.5,73.032,2019.0,0,301,69,False,True
130.0,12.4,11.466,12.7,12.566,10.766,13.033,72.931,2019.0,0,332,67,False,True
131.0,12.966,10.6,11.3,13.633,12.033,12.133,72.665,2019.0,0,330,45,False,True
132.0,12.7,11.0,11.933,12.933,12.166,11.833,72.565,2019.0,0,53,28,False,True
133.0,12.666,9.833,11.733,13.766,11.7,12.533,72.231,2019.0,0,101,50,False,True
134.0,11.866,11.166,12.2,12.766,12.066,12.133,72.197,2019.0,0,162,73,False,True
135.0,12.7,10.9,11.4,12.766,13.333,11.066,72.165,2019.0,0,148,72,False,True
136.0,12.266,10.5,11.5,13.7,11.866,12.1,71.932,2019.0,0,289,41,False,True
137.0,10.966,11.7,12.7,13.5,10.033,12.866,71.765,2019.0,0,203,14,False,True
138.0,13.3,8.966,11.6,13.7,12.1,12.0,71.666,2019.0,0,135,28,False,True
139.0,11.633,11.2,11.4,12.9,11.933,12.1,71.166,2019.0,0,173,51,False,True
140.0,10.633,9.316,12.933,13.4,12.866,11.9,71.048,2019.0,0,320,62,False,True
141.0,10.366,9.366,12.9,13.9,12.2,12.233,70.965,2019.0,0,161,60,False,True
142.0,13.266,10.133,12.266,12.5,10.566,12.166,70.897,2019.0,0,114,19,False,True
,13.866,,14.283,13.966,14.7,14.033,70.848,2019.0,0,348,42,False,True
143.0,13.166,9.8,11.633,13.8,12.333,10.033,70.765,2019.0,0,276,83,False,True
144.0,13.2,9.066,12.633,12.266,11.166,12.066,70.397,2019.0,0,327,77,False,True
,13.9,,13.733,14.466,14.266,13.866,70.231,2019.0,0,96,68,False,True
145.0,11.866,10.975,10.508,13.033,12.166,11.166,69.714,2019.0,0,310,15,False,True
,14.533,,13.1,14.366,14.433,13.266,69.698,2019.0,0,243,25,False,True
146.0,13.0,9.5,11.066,13.433,10.033,12.566,69.598,2019.0,0,258,67,False,True
147.0,12.233,11.166,11.1,13.433,11.966,9.066,68.964,2019.0,0,30,15,False,True
,14.166,12.466,,14.575,12.8,14.6,68.607,2019.0,0,39,9,False,True
,14.366,12.8,,14.366,13.325,13.333,68.19,2019.0,0,186,65,False,True
148.0,12.766,7.733,11.8,13.133,11.933,10.433,67.798,2019.0,0,37,56,False,True
,13.433,12.333,,14.266,13.866,13.5,67.398,2019.0,0,293,11,False,True
149.0,11.666,5.333,11.5,13.4,12.166,12.2,66.265,2019.0,0,209,37,False,True
,12.366,,13.141,14.366,13.233,12.866,65.972,2019.0,0,133,8,False,True
150.0,10.833,10.366,10.733,12.2,11.966,8.966,65.064,2019.0,0,106,24,False,True
,13.066,11.533,13.666,13.733,11.466,,63.464,2019.0,0,347,75,False,True
,,11.6,11.866,13.0,12.9,12.733,62.099,2019.0,0,97,26,False,True
,13.5,,11.933,12.7,9.566,13.6,61.299,2019.0,0,341,43,False,True
151.0,10.633,4.5,10.4,13.133,10.633,10.333,59.632,2019.0,0,120,77,False,True
,14.433,14.883,,14.766,,14.366,58.448,2019.0,1,76,42,False,True
152.0,9.7,8.166,9.2,10.433,10.166,10.066,57.731,2019.0,0,219,44,False,True
153.0,10.233,3.6,11.033,11.3,10.9,10.433,57.499,2019.0,0,1,30,False,True
154.0,11.766,2.4,10.633,12.7,9.266,9.033,55.798,2019.0,0,234,47,False,True
155.0,11.766,7.0,9.233,11.8,4.133,10.633,54.565,2019.0,0,22,44,False,True
,13.466,12.866,,,14.033,14.166,54.531,2019.0,0,297,78,False,True
,,12.733,13.533,,14.566,13.333,54.165,2019.0,0,68,68,False,True
,13.533,,14.666,12.8,12.966,,53.965,2019.0,0,205,39,False,True
,,12.966,13.766,,13.0,13.9,53.632,2019.0,0,255,65,False,True
,12.533,,12.5,14.366,,13.666,53.065,2019.0,0,116,4,False,True
,,13.033,12.9,14.433,,12.5,52.866,2019.0,0,6,25,False,True
,,13.733,12.933,,13.6,12.433,52.699,2019.0,0,110,9,False,True
,13.233,12.866,12.5,13.766,,,52.365,2019.0,0,225,52,False,True
,13.633,13.166,,,13.8,11.133,51.732,2019.0,0,333,76,False,True
,12.433,12.433,11.666,14.166,,,50.698,2019.0,0,338,8,False,True
,,10.533,13.0,,13.633,13.466,50.632,2019.0,0,331,62,False,True
,13.466,,11.766,12.866,,12.0,50.098,2019.0,0,315,72,False,True
,,10.633,12.766,,14.266,12.4,50.065,2019.0,0,143,11,False,True
,12.266,11.666,,13.866,,11.433,49.231,2019.0,0,233,75,False,True
156.0,11.233,6.0,3.516,11.766,4.9,9.1,46.515,2019.0,0,287,44,False,True
,,14.958,14.3,,14.633,,43.891,2019.0,0,349,13,False,True
,14.933,,,14.1,,14.433,43.466,2019.0,0,189,13,False,True
,14.6,,13.833,14.766,,,43.199,2019.0,0,92,83,False,True
,13.733,,13.8,15.3,,,42.833,2019.0,0,339,65,False,True
,,15.266,,,14.0,13.533,42.799,2019.0,0,217,83,False,True
,13.7,,14.7,13.966,,,42.366,2019.0,0,40,9,False,True
,,14.633,,,13.533,14.066,42.232,2019.0,0,82,63,False,True
,14.233,,13.8,14.066,,,42.099,2019.0,0,336,11,False,True
,14.033,13.633,,14.333,,,41.999,2019.0,0,50,68,False,True
,14.066,,14.566,13.1,,,41.732,2019.0,0,240,83,False,True
,,,14.858,,13.533,13.2,41.591,2019.0,0,130,75,False,True
,13.333,14.683,,13.441,,,41.457,2019.0,0,299,83,False,True
,,13.333,13.966,,13.9,,41.199,2019.0,0,334,42,False,True
,,14.666,,,13.7,12.733,41.099,2019.0,0,74,27,False,True
,,12.266,,,15.033,13.7,40.999,2019.0,0,198,83,False,True
,,,13.833,,13.733,12.933,40.499,2019.0,0,345,83,False,True
,14.1,11.4,,14.7,,,40.2,2019.0,0,241,39,False,True
,,13.1,,,12.766,14.2,40.066,2019.0,0,64,39,False,True
,,13.433,,,12.8,13.7,39.933,2019.0,0,86,32,False,True
,13.3,11.833,,14.666,,,39.799,2019.0,0,145,4,False,True
,13.433,,,14.166,,12.0,39.599,2019.0,0,75,7,False,True
,11.366,,14.7,13.5,,,39.566,2019.0,0,291,27,False,True
,13.166,12.866,,,13.5,,39.532,2019.0,0,314,25,False,True
,13.4,,11.633,14.3,,,39.333,2019.0,0,11,1,False,True
,,12.066,13.2,,13.533,,38.799,2019.0,0,218,7,False,True
,13.6,12.033,13.1,,,,38.733,2019.0,0,313,54,False,True
,,12.066,,,13.0,13.033,38.099,2019.0,0,17,8,False,True
,12.433,,12.366,13.0,,,37.799,2019.0,0,303,32,False,True
,,,,13.933,11.566,12.233,37.732,2019.0,0,249,54,False,True
,13.4,11.366,,,,12.233,36.999,2019.0,0,177,70,False,True
,,12.266,,,12.433,11.666,36.365,2019.0,0,325,53,False,True
,11.1,,,13.466,,9.966,34.532,2019.0,0,231,74,False,True
,9.0,4.533,,11.8,,7.633,32.966,2019.0,0,235,47,False,True
,,,14.533,14.833,,,29.366,2019.0,0,131,76,False,True
,,,14.6,14.366,,,28.966,2019.0,0,89,63,False,True
,14.066,,,14.616,,,28.682,2019.0,0,207,62,False,True
,,,14.033,13.933,,,27.966,2019.0,0,323,78,False,True
,,,,,13.5,14.366,27.866,2019.0,0,324,4,False,True
,12.9,,,14.3,,,27.2,2019.0,0,229,1,False,True
,13.833,,,,,13.366,27.199,2019.0,0,269,17,False,True
,,,,14.1,,12.466,26.566,2019.0,0,151,31,False,True
,11.6,,,14.866,,,26.466,2019.0,0,160,30,False,True
,,,,,14.333,11.766,26.099,2019.0,0,102,52,False,True
,,12.033,,13.833,,,25.866,2019.0,0,275,83,False,True
,,13.1,,,12.633,,25.733,2019.0,0,221,40,False,True
,9.433,,,14.066,,,23.499,2019.0,0,32,38,False,True
,9.433,0.166,,12.333,,,21.932,2019.0,0,265,53,False,True
,,10.0,11.875,,,,21.875,2019.0,0,62,40,False,True
,,9.633,9.6,,,,19.233,2019.0,0,164,22,False,True
,,15.2,,,,,15.2,2019.0,0,274,36,False,True
,,,,14.966,,,14.966,2019.0,0,298,31,False,True
,,,,,,14.833,14.833,2019.0,0,318,16,False,True
,,,14.7,,,,14.7,2019.0,0,98,29,False,True
,,,14.566,,,,14.566,2019.0,0,43,3,False,True
,,,14.5,,,,14.5,2019.0,0,107,2,False,True
,,,14.433,,,,14.433,2019.0,0,200,35,False,True
,,,14.4,,,,14.4,2019.0,0,23,23,False,True
,,14.3,,,,,14.3,2019.0,0,236,43,False,True
,14.166,,,,,,14.166,2019.0,0,100,26,False,True
,,,,14.166,,,14.166,2019.0,0,8,33,False,True
,,14.133,,,,,14.133,2019.0,0,125,3,False,True
,,,14.133,,,,14.133,2019.0,0,181,29,False,True
,,,14.133,,,,14.133,2019.0,0,238,31,False,True
,,,13.866,,,,13.866,2019.0,0,246,6,False,True
,,,,13.8,,,13.8,2019.0,0,319,18,False,True
,13.8,,,,,,13.8,2019.0,0,284,66,False,True
,13.6,,,,,,13.6,2019.0,0,201,41,False,True
,13.233,,,,,,13.233,2019.0,0,69,20,False,True
,13.233,,,,,,13.233,2019.0,0,196,66,False,True
,,12.866,,,,,12.866,2019.0,0,216,16,False,True
,,,,,,12.833,12.833,2019.0,0,144,20,False,True
,,,,12.766,,,12.766,2019.0,0,153,20,False,True
,,12.033,,,,,12.033,2019.0,0,295,66,False,True
,,11.883,,,,,11.883,2019.0,0,288,35,False,True
,,11.333,,,,,11.333,2019.0,0,282,16,False,True
,11.0,,,,,,11.0,2019.0,0,340,71,False,True
,,10.5,,,,,10.5,2019.0,0,9,41,False,True
1.0,14.6,14.5,13.85,14.15,15.35,14.35,86.8,,0,290,80,True,False
2.0,14.2,13.4,14.35,14.45,14.5,13.65,84.55,,0,297,80,True,False
3.0,13.7,13.95,13.8,14.4,14.6,13.5,83.95,,0,60,80,True,False
4.0,13.85,13.35,13.9,14.1,14.6,14.1,83.9,,0,122,80,True,False
5.0,13.85,14.2,13.9,14.3,14.1,12.0,82.35,,0,346,80,True,False
5.0,13.25,14.55,13.8,13.75,13.55,13.45,82.35,,0,24,80,True,False
7.0,13.9,12.3,14.15,13.7,13.7,13.95,81.7,,0,71,80,True,False
8.0,13.85,12.65,13.6,14.3,13.6,13.65,81.65,,0,257,80,True,False
9.0,13.65,13.4,13.5,13.95,13.7,13.35,81.55,,0,138,80,True,False
10.0,13.2,14.15,13.15,14.1,13.9,13.0,81.5,,0,281,80,True,False
10.0,13.3,13.8,14.0,13.55,13.65,13.2,81.5,,0,129,80,True,False
12.0,14.4,12.75,12.7,14.2,13.85,13.4,81.3,,0,117,80,True,False
13.0,13.25,13.5,14.4,13.85,14.1,12.15,81.25,,0,296,80,True,False
13.0,14.35,13.05,14.05,13.5,13.85,12.45,81.25,,0,63,80,True,False
15.0,13.9,13.1,12.8,14.15,14.05,13.15,81.15,,0,14,80,True,False
16.0,13.75,13.3,13.05,14.3,13.55,13.1,81.05,,0,57,80,True,False
17.0,13.9,13.9,13.1,13.65,12.95,13.5,81.0,,0,242,80,True,False
18.0,13.75,13.3,14.15,14.15,12.45,12.6,80.4,,0,279,80,True,False
19.0,13.1,13.1,13.0,14.25,13.7,12.75,79.9,,0,72,80,True,False
20.0,13.45,13.05,13.65,14.05,13.2,12.2,79.6,,0,213,80,True,False
21.0,13.8,13.85,13.5,13.5,12.5,11.65,78.8,,0,119,80,True,False
21.0,14.0,12.6,13.1,13.45,13.05,12.6,78.8,,0,316,80,True,False
23.0,13.6,13.0,13.35,14.0,12.45,12.3,78.7,,0,93,80,True,False
24.0,11.5,14.05,14.2,13.7,11.45,13.55,78.45,,0,211,80,True,False
25.0,12.45,12.7,13.15,13.75,12.75,13.3,78.1,,0,118,80,True,False
26.0,13.95,12.75,12.25,14.1,12.45,12.45,77.95,,0,220,80,True,False
27.0,13.75,12.2,12.2,13.7,13.1,12.95,77.9,,0,51,80,True,False
28.0,13.35,11.7,13.35,13.4,12.9,12.15,76.85,,0,142,80,True,False
29.0,12.95,13.4,12.45,13.85,13.65,10.1,76.4,,0,311,80,True,False
30.0,12.05,11.85,12.75,13.75,13.85,11.4,75.65,,0,179,80,True,False
31.0,12.65,12.35,12.65,13.3,12.25,12.1,75.3,,0,212,80,True,False
32.0,12.2,12.15,12.0,13.15,12.85,12.4,74.75,,0,33,80,True,False
33.0,13.15,12.25,11.8,13.35,11.95,12.2,74.7,,0,21,80,True,False
34.0,12.8,11.25,12.05,13.45,12.6,10.9,73.05,,0,58,80,True,False
35.0,12.5,12.5,11.45,13.0,11.9,11.35,72.7,,0,49,80,True,False
36.0,13.9,12.0,0.0,14.25,12.25,11.9,64.3,,0,95,80,True,False
37.0,14.05,10.8,0.0,13.6,12.65,12.75,63.85,,0,7,80,True,False
38.0,0.0,12.45,12.7,12.1,11.8,12.15,61.2,,0,159,80,True,False
39.0,13.4,0.0,14.6,13.7,0.0,12.5,54.2,,0,18,80,True,False
40.0,0.0,14.7,0.0,0.0,0.0,0.0,14.7,,0,16,80,True,False
41.0,0.0,12.7,0.0,0.0,0.0,0.0,12.7,,0,113,80,True,False
