Rank,Team,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Total
,China,44.766 (5),43.724 (4),46.532 (1),46.066 (1),46.324 (1),45.957 (1),273.369
,Cheng Ran,14.000,-,-,15.400,-,-,273.369
,Deng Shudi,15.666,14.233,15.166,15.300,14.791,14.758,273.369
,Lin Chaopan,15.100,14.558,-,15.366,15.900,15.233,273.369
,Liu Yang,-,-,15.900,-,-,-,273.369
,You Hao,-,14.933,15.466,-,15.633,-,273.369
,Zhang Chenglong,-,-,-,-,-,15.966,273.369
,Japan,46.732 (1),45.341 (2),44.532 (4),45.766 (2),46.032 (2),44.866 (2),273.269
,Kohei Kameyama,-,15.300,-,-,-,-,273.269
,Ryohei Kato,15.266,14.775,-,14.966,15.233,14.200,273.269
,Shogo Nonomura,-,-,14.666,-,15.633,-,273.269
,Kenzo Shirai,15.766,-,-,15.400,-,-,273.269
,Yusuke Tanaka,-,-,15.033,-,15.166,15.266,273.269
,Kōhei Uchimura,15.700,15.266,14.833,15.400,-,15.400,273.269
,United States,46.500 (2),44.240 (3),44.766 (3),45.065 (5),45.365 (4),44.433 (3),270.369
,Jacob Dalton,15.900,-,15.000,14.933,-,14.500,270.369
,Danell Leyva,-,14.466,-,-,15.666,15.100,270.369
,Samuel Mikulak,15.300,14.708,-,15.166,-,-,270.369
,Alexander Naddour,-,15.066,15.000,-,-,-,270.369
,John Orozco,-,-,-,-,15.066,14.833,270.369
,Donnell Whittenburg,15.300,-,14.766,14.966,14.633,-,270.369
4.0,Great Britain,45.633 (4),45.649 (1),44.166 (6),45.657 (3),43.966 (5),44.099 (4),269.17
4.0,Daniel Keatings,-,15.633,-,-,13.933,-,269.17
4.0,Daniel Purvis,15.100,14.500,-,-,15.200,-,269.17
4.0,Kristian Thomas,15.233,-,-,15.491,-,14.900,269.17
4.0,Courtney Tulloch,-,-,14.966,-,-,-,269.17
4.0,Max Whitlock,15.300,15.516,14.600,15.366,-,14.366,269.17
4.0,Nile Wilson,-,-,14.600,14.800,14.833,14.833,269.17
5.0,Russia,45.715 (3),42.933 (7),46.391 (2),44.999 (6),43.032 (8),43.433 (6),266.503
5.0,Denis Ablyazin,15.583,-,15.800,15.000,-,-,266.503
5.0,David Belyavskiy,15.066,14.933,-,14.966,14.366,14.500,266.503
5.0,Nikita Ignatyev,15.066,-,15.333,15.033,13.833,14.333,266.503
5.0,Daniil Kazachkov,-,-,15.258,-,-,-,266.503
5.0,Nikolai Kuksenkov,-,13.200,-,-,14.833,14.600,266.503
5.0,Ivan Stretovich,-,14.800,-,-,-,-,266.503
6.0,Brazil,44.699 (6),43.000 (5),44.466 (5),45.532 (4),43.199 (7),42.666 (7),263.562
6.0,Francisco Barretto,-,14.200,14.100,-,14.200,13.600,263.562
6.0,Lucas Bitencourt,-,14.200,-,-,14.333,-,263.562
6.0,Diego Hypólito,15.633,-,-,15.000,-,-,263.562
6.0,Arthur Zanetti,-,-,15.633,-,-,-,263.562
6.0,Arthur Oyakawa Mariano,14.533,-,-,14.966,-,14.066,263.562
6.0,Sérgio Sasaki,14.533,14.600,14.733,15.566,14.666,15.000,263.562
7.0,Switzerland,43.666 (7),42.957 (6),42.240 (8),44.133 (7),43.765 (6),40.532 (8),257.293
7.0,Christian Baumann,-,13.666,13.866,-,-,14.200,257.293
7.0,Pascal Bucher,-,14.566,-,14.400,15.033,12.866,257.293
7.0,Benjamin Gischard,14.600,-,13.966,14.600,-,-,257.293
7.0,Oliver Hegi,-,14.725,-,-,13.966,13.466,257.293
7.0,Kevin Rossi,14.266,-,-,-,-,-,257.293
7.0,Eddy Yusof,14.800,-,14.408,15.133,14.766,-,257.293
8.0,Germany,41.299 (8),39.765 (8),43.366 (7),42.466 (8),45.466 (3),43.798 (5),256.16
8.0,Andreas Bretschneider,13.800,-,14.133,-,14.900,14.166,256.16
8.0,Lukas Dauser,-,-,-,13.533,15.366,-,256.16
8.0,Fabian Hambüchen,15.166,-,14.633,14.033,15.200,15.366,256.16
8.0,Helge Liebrich,-,11.766,-,14.900,-,-,256.16
8.0,Andreas Toba,12.333,14.366,14.600,-,-,14.266,256.16
8.0,Daniel Weinert,-,13.633,-,-,-,-,256.16
