Rank,Athlete,Nation,D,E,ND,Total,round,year
1,eleftherios petrounias,GRE,6.3,9.066,0.0,15.366,final,2018
2,arthur zanetti,BRA,6.2,8.9,0.0,15.1,final,2018
3,marco lodadio,ITA,6.3,8.6,0.0,14.9,final,2018
4,artur tovmasyan,ARM,6.1,8.666,0.0,14.766,final,2018
5,nikita nagornyy,RUS,6.0,8.733,0.0,14.733,final,2018
6,vahagn davtyan,ARM,6.1,8.633,0.0,14.733,final,2018
7,nikita simonov,AZE,6.0,8.266,0.0,14.266,final,2018
8,igor radivilov,UKR,6.3,7.833,0.0,14.133,final,2018
1,eleftherios petrounias,GRE,6.3,8.966,0.0,15.266,qual,2018
2,arthur zanetti,BRA,6.2,8.833,0.0,15.033,qual,2018
3,artur tovmasyan,ARM,6.1,8.766,0.0,14.866,qual,2018
4,igor radivilov,UKR,6.3,8.433,0.0,14.733,qual,2018
5,vahagn davtyan,ARM,6.1,8.566,0.0,14.666,qual,2018
6,marco lodadio,ITA,6.3,8.366,0.0,14.666,qual,2018
7,nikita simonov,AZE,6.0,8.633,0.0,14.633,qual,2018
7,nikita nagornyy,RUS,6.0,8.633,0.0,14.633,qual,2018
9,dennis goossens,BEL,6.2,8.333,0.0,14.533,qual,2018
9,ibrahim colak,TUR,6.2,8.333,0.0,14.533,qual,2018
11,caio souza,BRA,6.0,8.433,0.0,14.433,qual,2018
12,fabian de luna,MEX,5.9,8.466,0.0,14.366,qual,2018
13,dmitrii lankin,RUS,6.1,8.2,0.0,14.3,qual,2018
14,samuel mikulak,USA,5.6,8.6,0.0,14.2,qual,2018
15,deng shudi,CHN,6.0,8.166,0.0,14.166,qual,2018
16,xiao ruoteng,CHN,5.7,8.433,0.0,14.133,qual,2018
17,marcel nguyen,none,5.8,8.333,0.0,14.133,qual,2018
17,andreas toba,none,5.8,8.333,0.0,14.133,qual,2018
17,dang nam,VIE,5.8,8.333,0.0,14.133,qual,2018
20,vinzenz höck,AUT,6.1,8.033,0.0,14.133,qual,2018
