Rank,Athlete,D,E,ND,Score,Total,round,year,Nation
1,alec yoder,6.1,8.6,0.0,14.7,30.0,final,2020,USA
1,alec yoder,6.5,8.8,0.0,15.3,30.0,final,2020,USA
2,allan bower,6.1,8.45,0.0,14.55,29.0,final,2020,USA
2,allan bower,6.1,8.35,0.0,14.45,29.0,final,2020,USA
3,sam mikulak,6.0,8.5,0.0,14.5,28.85,final,2020,USA
3,sam mikulak,6.2,8.15,0.0,14.35,28.85,final,2020,USA
4,yul moldauer,5.6,8.6,0.0,14.2,28.2,final,2020,USA
4,yul moldauer,5.9,8.1,0.0,14.0,28.2,final,2020,USA
5,ian gunther,5.3,8.5,0.0,13.8,27.75,final,2020,USA
5,ian gunther,5.3,8.65,0.0,13.95,27.75,final,2020,USA
6,donothan bailey,6.1,6.9,0.0,13.0,27.6,final,2020,USA
6,donothan bailey,6.2,8.4,0.0,14.6,27.6,final,2020,USA
7,robert neff,6.1,8.05,0.0,14.15,27.2,final,2020,USA
7,robert neff,6.1,6.95,0.0,13.05,27.2,final,2020,USA
8,akash modi,5.5,7.6,0.0,13.1,27.15,final,2020,USA
8,akash modi,5.8,8.25,0.0,14.05,27.15,final,2020,USA
8,nicolas kuebler,4.9,9.0,0.0,13.9,27.15,final,2020,USA
8,nicolas kuebler,4.9,8.35,0.0,13.25,27.15,final,2020,USA
10,brandon briones,5.5,7.8,0.0,13.3,27.0,final,2020,USA
10,brandon briones,5.6,8.1,0.0,13.7,27.0,final,2020,USA
10,sean melton,5.5,8.0,0.0,13.3,27.0,final,2020,USA
10,sean melton,5.4,8.1,0.0,13.5,27.0,final,2020,USA
12,brody malone,5.6,8.35,0.0,13.95,26.9,final,2020,USA
12,brody malone,5.3,7.65,0.0,12.95,26.9,final,2020,USA
13,marvin kimble,6.3,7.75,0.0,14.05,26.85,final,2020,USA
13,marvin kimble,6.0,6.8,0.0,12.8,26.85,final,2020,USA
14,colt walker,5.5,7.6,0.0,13.1,26.55,final,2020,USA
14,colt walker,5.5,7.95,0.0,13.45,26.55,final,2020,USA
14,genko suzuki,5.6,8.25,0.0,13.85,26.55,final,2020,USA
14,genko suzuki,5.9,6.8,0.0,12.7,26.55,final,2020,USA
16,paul juda,4.1,8.55,0.0,12.65,26.4,final,2020,USA
16,paul juda,4.7,9.05,0.0,13.75,26.4,final,2020,USA
17,grant breckenridge,4.6,8.75,0.0,13.35,25.95,final,2020,USA
17,grant breckenridge,4.9,7.7,0.0,12.6,25.95,final,2020,USA
18,cameron bock,5.6,7.45,0.0,13.05,25.9,final,2020,USA
18,cameron bock,5.7,7.15,0.0,12.85,25.9,final,2020,USA
19,matt wenske,4.6,8.45,0.0,13.05,25.75,final,2020,USA
19,matt wenske,4.6,8.1,0.0,12.7,25.75,final,2020,USA
20,timothy wang,6.1,6.5,0.0,12.6,25.45,final,2020,USA
20,timothy wang,6.1,6.75,0.0,12.85,25.45,final,2020,USA
20,kiwan watts,4.8,7.05,0.0,11.85,25.45,final,2020,USA
20,kiwan watts,5.2,8.4,0.0,13.6,25.45,final,2020,USA
22,gage dyer,4.8,7.95,0.0,12.75,25.4,final,2020,USA
22,gage dyer,4.8,7.85,0.0,12.65,25.4,final,2020,USA
23,colin van wicklen,4.8,7.5,0.0,12.3,25.35,final,2020,USA
23,colin van wicklen,4.8,8.25,0.0,13.05,25.35,final,2020,USA
24,isaiah drake,5.1,8.3,0.0,13.4,25.05,final,2020,USA
24,isaiah drake,4.8,6.85,0.0,11.65,25.05,final,2020,USA
25,michael moran,4.9,7.85,0.0,12.75,24.25,final,2020,USA
25,michael moran,4.9,6.6,0.0,11.5,24.25,final,2020,USA
26,adrian de los angeles,5.5,5.3,0.0,10.8,23.7,final,2020,USA
26,adrian de los angeles,5.2,7.7,0.0,12.9,23.7,final,2020,USA
