Rank,Athlete,Nation,D,E,ND,Total,round,year
1,artur dalaloyan,RUS,6.2,8.7,0.0,14.9,final,2018
2,kenzo shirai,JPN,6.8,8.066,0.0,14.866,final,2018
3,carlos edriel yulo,PHI,6.2,8.4,0.0,14.6,final,2018
4,yul moldauer,USA,5.8,8.766,0.0,14.566,final,2018
5,artem dolgopyat,ISR,6.4,8.166,0.0,14.566,final,2018
6,nikita nagornyy,RUS,6.4,8.1,0.0,14.5,final,2018
7,samuel mikulak,USA,5.7,8.533,0.0,14.233,final,2018
8,kazuma kaya,JPN,5.8,8.3,0.0,14.1,final,2018
9,ahmet önder,TUR,6.0,7.833,0.0,13.833,final,2018
1,artur dalaloyan,RUS,6.2,8.633,0.0,14.833,qual,2018
2,kenzo shirai,JPN,6.8,8.033,0.0,14.833,qual,2018
3,nikita nagornyy,RUS,6.4,8.4,0.0,14.8,qual,2018
4,carlos edriel yulo,PHI,6.2,8.566,0.0,14.766,qual,2018
5,ahmet önder,TUR,6.0,8.533,0.0,14.533,qual,2018
6,yul moldauer,USA,5.8,8.633,0.0,14.433,qual,2018
7,artem dolgopyat,ISR,6.4,8.0,0.0,14.4,qual,2018
8,samuel mikulak,USA,5.7,8.633,0.0,14.333,qual,2018
8,kazuma kaya,JPN,5.7,8.633,0.0,14.333,qual,2018
10,james hall,none,5.9,8.433,0.0,14.333,qual,2018
11,benjamin gischard,SUI,6.0,8.233,0.0,14.233,qual,2018
12,loris frasca,FRA,5.9,8.3,0.0,14.2,qual,2018
13,casimir schmidt,NED,6.0,8.2,0.0,14.2,qual,2018
14,xiao ruoteng,CHN,6.1,8.1,0.0,14.2,qual,2018
14,kim han-sol,SKR,6.1,8.1,0.0,14.2,qual,2018
16,deng shudi,CHN,5.9,8.366,-0.1,14.166,qual,2018
17,milad karimi,KAZ,5.8,8.366,0.0,14.166,qual,2018
18,marcel nguyen,none,6.1,8.066,0.0,14.166,qual,2018
19,dominick cunningham,none,6.0,8.116,0.0,14.116,qual,2018
20,tang chia-hung,none,6.1,8.1,-0.1,14.1,qual,2018
21,rayderley zapata,ESP,6.4,8.0,-0.3,14.1,qual,2018
22,pablo brägger,SUI,5.6,8.466,0.0,14.066,qual,2018
23,jonathan vrolix,BEL,5.9,8.166,0.0,14.066,qual,2018
24,tomas gonzalez,CHI,6.1,7.966,0.0,14.066,qual,2018
25,stian skjerahaug,NOR,5.4,8.633,0.0,14.033,qual,2018
26,wataru tanigawa,JPN,5.9,8.133,0.0,14.033,qual,2018
27,arthur mariano,BRA,5.6,8.466,-0.1,13.966,qual,2018
28,noah kuavita,BEL,5.5,8.466,0.0,13.966,qual,2018
29,lee jun-ho,SKR,5.8,8.166,0.0,13.966,qual,2018
29,maksym vasylenko,UKR,5.8,8.166,0.0,13.966,qual,2018
31,max whitlock,none,5.9,8.066,0.0,13.966,qual,2018
32,colin van wicklen,USA,5.5,8.433,0.0,13.933,qual,2018
33,lee chih-kai,none,5.8,8.133,0.0,13.933,qual,2018
34,marian dragulescu,ROU,5.5,8.4,0.0,13.9,qual,2018
35,dmitrii lankin,RUS,6.1,8.1,-0.3,13.9,qual,2018
36,heikki saarenketo,FIN,6.0,8.0,-0.1,13.9,qual,2018
37,randy leru,CUB,5.9,8.0,0.0,13.9,qual,2018
38,oskar kirmes,FIN,5.5,8.366,0.0,13.866,qual,2018
39,julien gobaux,FRA,5.8,8.133,-0.1,13.833,qual,2018
40,nicolau mir,ESP,5.7,8.133,0.0,13.833,qual,2018
41,scott morgan,CAN,5.9,7.933,0.0,13.833,qual,2018
42,filip lidbeck,SWE,5.1,8.708,0.0,13.808,qual,2018
43,yusuke tanaka,JPN,5.1,8.966,-0.3,13.766,qual,2018
44,oleg verniaiev,UKR,5.7,8.066,0.0,13.766,qual,2018
45,maxime gentges,BEL,5.2,8.533,0.0,13.733,qual,2018
46,ibrahim colak,TUR,5.3,8.433,0.0,13.733,qual,2018
47,brinn bevan,none,5.9,8.133,-0.3,13.733,qual,2018
48,ivan tikhonov,AZE,5.5,8.208,0.0,13.708,qual,2018
49,tomas kuzmickas,LTU,5.3,8.4,0.0,13.7,qual,2018
50,dzianis sanuvonh,BLR,5.4,8.3,0.0,13.7,qual,2018
51,marios georgiou,CYP,5.5,8.2,0.0,13.7,qual,2018
51,park min-soo,SKR,5.5,8.2,0.0,13.7,qual,2018
51,bart deurloo,NED,5.5,8.2,0.0,13.7,qual,2018
54,nestor abad,ESP,5.8,8.0,-0.1,13.7,qual,2018
55,artur davtyan,ARM,5.5,8.166,0.0,13.666,qual,2018
56,rene cournoyer,CAN,5.6,8.066,0.0,13.666,qual,2018
57,frank rijken,NED,5.1,8.6,-0.1,13.6,qual,2018
58,tikumporn surintornta,THA,5.5,8.2,-0.1,13.6,qual,2018
59,paul degouy,FRA,5.4,8.2,0.0,13.6,qual,2018
59,odin kalvø,NOR,5.4,8.2,0.0,13.6,qual,2018
61,ilyas azizov,KAZ,5.3,8.266,0.0,13.566,qual,2018
61,shiao yu-jan,none,5.3,8.266,0.0,13.566,qual,2018
63,oliver hegi,SUI,5.5,8.066,0.0,13.566,qual,2018
64,elias koski,FIN,5.3,8.233,0.0,13.533,qual,2018
65,caio souza,BRA,5.5,8.033,0.0,13.533,qual,2018
66,daniel ponizil,CZE,4.9,8.6,0.0,13.5,qual,2018
67,ruben lopez,ESP,5.5,8.3,-0.3,13.5,qual,2018
68,dariy morozov,AZE,5.5,8.1,-0.1,13.5,qual,2018
69,daniel aguero,PER,5.4,8.1,0.0,13.5,qual,2018
69,andrei muntean,ROU,5.4,8.1,0.0,13.5,qual,2018
71,adelin kotrong,ROU,5.7,7.8,0.0,13.5,qual,2018
72,kim vanström,SWE,5.5,8.266,-0.3,13.466,qual,2018
73,ethan dick,NZL,5.3,8.166,0.0,13.466,qual,2018
74,kyleab ellis,NZL,5.6,7.866,0.0,13.466,qual,2018
75,clay mason stephens,AUS,5.5,8.033,-0.1,13.433,qual,2018
76,krisztian boncser,HUN,5.9,7.833,-0.3,13.433,qual,2018
77,rasuljon abdurakhimov,UZB,5.0,8.4,0.0,13.4,qual,2018
78,david rumbutis,SWE,5.3,8.066,0.0,13.366,qual,2018
79,ludovico edalli,ITA,5.1,8.233,0.0,13.333,qual,2018
80,akim mussayev,KAZ,5.2,8.133,0.0,13.333,qual,2018
80,sofus heggemsnes,NOR,5.2,8.133,0.0,13.333,qual,2018
82,francisco rojo,MEX,5.6,7.833,-0.1,13.333,qual,2018
83,yahor sharamkou,BLR,6.1,7.633,-0.4,13.333,qual,2018
84,slavomir michnak,SVK,4.8,8.5,0.0,13.3,qual,2018
85,christian riisberg,DEN,5.3,8.0,0.0,13.3,qual,2018
85,ferhat arican,TUR,5.3,8.0,0.0,13.3,qual,2018
87,lukas dauser,none,5.2,8.066,0.0,13.266,qual,2018
88,lucas bitencourt,BRA,5.7,7.566,0.0,13.266,qual,2018
89,daniel radovesnicky,CZE,4.9,8.333,0.0,13.233,qual,2018
90,yu chao-wei,none,4.8,8.4,0.0,13.2,qual,2018
91,vigen khachatryan,ARM,5.0,8.2,0.0,13.2,qual,2018
92,scott costin,AUS,5.1,8.1,0.0,13.2,qual,2018
93,marco sarrugerio,ITA,5.2,8.0,0.0,13.2,qual,2018
93,yerbol jantykov,KAZ,5.2,8.0,0.0,13.2,qual,2018
95,ri yong min,none,5.3,7.9,0.0,13.2,qual,2018
96,sun wei,CHN,5.5,7.7,0.0,13.2,qual,2018
97,julian jato,ARG,5.0,8.166,0.0,13.166,qual,2018
97,loo phay xing,MAS,5.0,8.166,0.0,13.166,qual,2018
99,botond kardos,HUN,5.4,7.766,0.0,13.166,qual,2018
100,eddy yusof,SUI,5.3,7.933,-0.1,13.133,qual,2018
101,cory paterson,CAN,5.3,7.833,0.0,13.133,qual,2018
101,reiss beckford,JAM,5.3,7.833,0.0,13.133,qual,2018
103,antoine borello,FRA,5.0,8.1,0.0,13.1,qual,2018
104,antonios tantalidis,GRE,5.5,7.9,-0.3,13.1,qual,2018
105,israel chiriboga,ECU,4.7,8.366,0.0,13.066,qual,2018
106,arthur zanetti,BRA,5.8,7.566,-0.3,13.066,qual,2018
107,jossimar calvo,COL,5.6,7.566,-0.1,13.066,qual,2018
108,daniel villafane,ARG,5.6,7.466,0.0,13.066,qual,2018
109,christopher remkes,AUS,6.2,6.866,0.0,13.066,qual,2018
110,samuel zakutney,CAN,5.3,7.733,0.0,13.033,qual,2018
111,andrey likhovitskiy,BLR,4.8,8.5,-0.3,13.0,qual,2018
112,bram louwije,NED,4.8,8.2,0.0,13.0,qual,2018
113,devy dyson,NZL,4.9,8.1,0.0,13.0,qual,2018
114,santiago mayol,ARG,5.1,7.9,0.0,13.0,qual,2018
114,petrix barbosa,POR,5.1,7.9,0.0,13.0,qual,2018
116,marco lodadio,ITA,5.4,7.6,0.0,13.0,qual,2018
116,fabian de luna,MEX,5.4,7.6,0.0,13.0,qual,2018
118,karl idesjö,SWE,4.8,8.166,0.0,12.966,qual,2018
119,alexander shatilov,ISR,5.6,7.666,-0.3,12.966,qual,2018
120,mikhail koudinov,NZL,5.1,7.833,0.0,12.933,qual,2018
121,lin chaopan,CHN,6.0,7.233,-0.3,12.933,qual,2018
122,dinh phuong thanh,VIE,4.7,8.2,0.0,12.9,qual,2018
123,ryan sheppard,HUN,5.1,7.8,0.0,12.9,qual,2018
124,nicolas cordoba,ARG,4.4,8.466,0.0,12.866,qual,2018
125,raman antropau,BLR,4.9,8.066,-0.1,12.866,qual,2018
126,nikolaos iliopoulos,GRE,4.7,8.133,0.0,12.833,qual,2018
126,nikola jurkovic,SRB,4.7,8.133,0.0,12.833,qual,2018
128,severin kranzlmüller,AUT,4.1,8.633,0.0,12.733,qual,2018
129,pham phuoc hung,VIE,4.6,8.133,0.0,12.733,qual,2018
130,bobur toshpulatov,UZB,4.8,7.933,0.0,12.733,qual,2018
131,andrea russo,ITA,4.8,7.9,0.0,12.7,qual,2018
132,alec yoder,USA,5.3,7.666,-0.3,12.666,qual,2018
133,saba abesadze,GEO,5.1,7.666,-0.1,12.666,qual,2018
134,konstantin kuzovkov,GEO,5.0,7.666,0.0,12.666,qual,2018
135,svjatoslav solovjev,CZE,4.8,8.133,-0.3,12.633,qual,2018
