0,1,2,3,4,5,6,7
Rank,Athlete,Nation,D,E,ND,Total,Average
1,Kenzo Shirai,Japan,6.0,9.425,,15.425,15.100
1,Kenzo Shirai,Japan,5.6,9.175,,14.775,15.100
2,Oleg Verniaiev,Ukraine,6.0,9.125,,15.125,15.012
2,Oleg Verniaiev,Ukraine,5.6,9.300,,14.900,15.012
3,Koji Yamamuro,Japan,6.0,9.125,,15.125,15.000
3,Koji Yamamuro,Japan,5.6,9.275,,14.875,15.000
4,Matthias Fahrig,Germany,5.6,9.475,,15.075,14.800
4,Matthias Fahrig,Germany,5.6,9.025,-0.1,14.525,14.800
5,Igor Radivilov,Ukraine,6.0,9.075,,15.075,14.550
5,Igor Radivilov,Ukraine,6.0,8.125,-0.1,14.025,14.550
6,Jeffrey Wammes,Netherlands,5.6,9.450,,15.050,14.500
6,Jeffrey Wammes,Netherlands,5.8,8.250,-0.1,13.950,14.500
7,Vitalijs Kardasovs,Latvia,5.6,8.775,,14.375,14.337
7,Vitalijs Kardasovs,Latvia,5.2,9.100,,14.300,14.337
8,Bart Deurloo,Netherlands,5.6,7.975,,13.575,14.300
8,Bart Deurloo,Netherlands,5.6,9.425,,15.025,14.300
