Rank,Athlete,Nation,D,E,ND,Total
1,Daria Spiridonova,Russia,6.5,8.741,,15.241
2,Becky Downie,Great Britain,6.7,8.533,,15.233
3,Maria Kharenkova,Russia,6.2,8.533,,14.733
4,Sanne Wevers,Netherlands,5.6,8.633,,14.233
5,Maria Paseka,Russia,5.9,8.333,,14.233
6,Loan His,France,5.9,8.3,,14.2
7,Ellie Downie,Great Britain,5.9,8.066,,13.966
8,Giulia Steingruber,Switzerland,6,7.966,,13.966
9,Martina Rizzelli,Italy,6,7.866,,13.866
10,Filipa Martins,Portugal,5.4,8.366,,13.766
11,Erika Fasana,Italy,5.7,8.066,,13.766
12,Diana Bulimar,Romania,5.3,8.366,,13.666
13,Marta Pihan-Kulesza,Poland,5.6,8.066,,13.666
14,Eythora Thorsdottir,Netherlands,5.4,8.2,,13.6
15,Noemi Makra,Hungary,5.9,7.7,,13.6
16,Kim Singmuang,Sweden,5.7,7.766,,13.466
17,Louise Vanhille,France,5.8,7.533,,13.333
18,Amy Tinkler,Great Britain,5.6,7.7,,13.3
19,Argyro Afrati,Greece,5.6,7.666,,13.266
20,Vanessa Ferrari,Italy,5.5,7.7,,13.2
21,Ilaria Käslin,Switzerland,5.2,7.9,,13.1
22,Dyonnailys Supriana,Netherlands,5,8.033,,13.033
23,Carlotta Ferlito,Italy,5.4,7.6,,13
24,Barbora Mokosova,Slovakia,5.1,7.866,,12.966
25,Jessica Diacci,Switzerland,5.2,7.7,,12.9
26,Evangelia Plyta,Greece,6.1,6.766,,12.866
27,Carlotta Barloggio,Switzerland,5.2,7.633,,12.833
28,Kitti Honti,Hungary,5.3,7.5,,12.8
29,Laura Jurca,Romania,5.5,7.3,,12.8
30,Jonna Adlerteg,Sweden,5.9,6.9,,12.8
31,Houry Gebeshian,Armenia,4.8,7.933,,12.733
32,Teja Belak,Slovenia,4.9,7.833,,12.733
33,Michelle Timm,Germany,5.1,7.5,,12.6
34,Noel van Klaveren,Netherlands,5.8,6.8,,12.6
35,Michelle Lauritsen,Denmark,4.6,7.866,,12.466
36,Ainhoa Carmona,Spain,4.7,7.766,,12.466
37,Pauline Tratz,Germany,4.9,7.533,,12.433
38,Vasiliki Millousi,Greece,5.1,7.3,,12.4
39,Rosanna Ojala,Finland,5.5,6.9,,12.4
40,Claudia Fragapane,Great Britain,5.4,6.933,,12.333
41,Claire Martin,France,4.1,8.133,,12.233
42,Paula Raya,Spain,5.2,7.033,,12.233
43,Dina Nygaard,Norway,4.5,7.7,,12.2
44,Andreea Iridon,Romania,5.4,6.766,,12.166
45,Dominiqua Belanyi,Iceland,4.5,7.5,,12
46,Ellis O’Reilly,Ireland,4.4,7.566,,11.966
47,Tjasa Kysselef,Slovenia,3.9,7.966,,11.866
48,Anastasiya Yekimenka,Belarus,4.7,7,,11.7
49,Anna-Maria Kanyai,Czech Republic,5,6.533,,11.533
50,Monica Sileoni,Finland,4.5,7,,11.5
51,Veronika Cenkova,Czech Republic,4.8,6.666,,11.466
52,Ana Perez,Spain,5.7,5.733,,11.433
53,Ekin Morova,Turkey,4.7,6.666,,11.366
54,Maria Simou,Greece,4.8,6.433,,11.233
55,Krystyna Sankova,Ukraine,4.6,6.6,,11.2
56,Camille Bahl,France,5.2,5.866,,11.066
57,Aliaksandra Koshaleva,Belarus,3.7,7.333,,11.033
58,Demet Mutlu,Turkey,5.2,5.833,,11.033
59,Ralitsa Mileva,Bulgaria,4.5,6.466,,10.966
60,Nora Fernandez,Spain,5.1,5.866,,10.966
61,Martine Skregelid,Norway,3.8,7.066,,10.866
62,Katarzyna Jurkowska,Poland,5.1,5.7,,10.8
63,Marina Nekrasova,Azerbaijan,4.3,6.4,,10.7
64,Vaida Zitineviciute,Lithuania,4.2,6.333,,10.533
65,Tutya Yilmaz,Turkey,4.3,6.133,,10.433
66,Valerija Grisane,Latvia,2.7,7.6,,10.3
67,Mariia Smirnova,Azerbaijan,4,6.266,,10.266
68,Thelma Hermannsdottir,Iceland,3.4,6.766,,10.166
69,Mette Hulgaard,Denmark,3.9,6.266,,10.166
70,Nato Dzidziguri,Georgia,3.3,6.833,,10.133
71,Tara Donnelly,Ireland,2.7,7.333,,10.033
72,Angelina Kysla,Ukraine,5.6,4.366,,9.966
73,Tzuf Feldon,Israel,4.8,5.133,,9.933
74,Peppijna Dalli,Malta,3.7,6.2,,9.9
75,Gaya Giladi,Israel,4.1,5.666,,9.766
76,Alina Circene,Latvia,1.6,8.066,,9.666
77,Anastasija Dubova,Latvia,3.3,6.333,,9.633
78,Norma Robertsdottir,Iceland,3.7,5.8,,9.5
79,Sofie Bråten,Norway,4.4,4.933,,9.333
80,Julie Krogsgaard,Denmark,1.8,7.033,,8.833
81,Mia Haerum,Norway,1.2,7.566,,8.766
82,Andrea Orradottir,Iceland,2.5,5.7,,8.2
83,Albena Zlatkova,Bulgaria,3.2,4.6,,7.8
84,Linnea Wang,Denmark,3.5,3.933,,7.433
85,Gabriele Blazyte,Lithuania,3,3.8,,6.8
