Rank,Athlete,Nation,D,E,ND,Total
1,Maria Kharenkova,Russia,6.4,8.633,,15.033
2,Becky Downie,Great Britain,6.1,8.266,,14.366
3,Pauline Schäfer,Germany,5.8,8.533,,14.333
4,Andreea Munteanu,Romania,6.3,7.933,,14.233
5,Sanne Wevers,Netherlands,5.7,8.625,-0.1,14.225
6,Claire Martin,France,5.8,8.366,,14.166
6,Claudia Fragapane,Great Britain,5.8,8.366,,14.166
8,Vasiliki Millousi,Greece,6.1,8.166,-0.1,14.166
9,Andreea Iridon,Romania,5.7,8.4,,14.1
10,Carlotta Ferlito,Italy,5.7,8.358,,14.058
11,Vanessa Ferrari,Italy,5.8,8.133,,13.933
12,Ellie Downie,Great Britain,5.5,8.391,,13.891
13,Erika Fasana,Italy,5.7,8.141,,13.841
14,Diana Bulimar,Romania,5.5,8.2,,13.7
15,Carlotta Barloggio,Switzerland,5.1,8.466,,13.566
16,Filipa Martins,Portugal,5.2,8.3,,13.5
17,Eythora Thorsdottir,Netherlands,5.7,7.8,,13.5
18,Noel van Klaveren,Netherlands,5.9,7.525,,13.425
19,Jonna Adlerteg,Sweden,5.2,8.133,,13.333
20,Giulia Steingruber,Switzerland,5.8,7.5,,13.3
21,Jessica Diacci,Switzerland,5.5,7.833,-0.1,13.233
22,Daria Spiridonova,Russia,5.5,7.7,,13.2
23,Ana Perez,Spain,5.2,7.933,,13.133
24,Ainhoa Carmona,Spain,5.1,8,,13.1
25,Kim Janas,Germany,5.9,7.166,,13.066
26,Noemi Makra,Hungary,5.1,7.933,,13.033
27,Krystyna Sankova,Ukraine,5.9,7.2,-0.1,13
28,Dyonnailys Supriana,Netherlands,5.8,7.266,-0.1,12.966
29,Martina Rizzelli,Italy,5.3,7.633,,12.933
30,Marta Pihan-Kulesza,Poland,5.6,7.333,,12.933
31,Amy Tinkler,Great Britain,5.4,7.433,,12.833
32,Valerija Grisane,Latvia,4.7,8.041,,12.741
33,Loan His,France,5,7.633,,12.633
34,Pauline Tratz,Germany,4.4,8.2,,12.6
35,Katarzyna Jurkowska,Poland,5.3,7.266,,12.566
36,Eniko Horvath,Hungary,4.5,8.033,,12.533
37,Angelina Kysla,Ukraine,5.1,7.366,,12.466
38,Ilaria Käslin,Switzerland,5.4,7.166,-0.1,12.466
39,Laura Jurca,Romania,5.4,7.066,,12.466
40,Louise Vanhille,France,5.4,7,,12.4
41,Tara Donnelly,Ireland,4.7,7.6,,12.3
42,Camille Bahl,France,5,7.3,,12.3
43,Demet Mutlu,Turkey,5.1,7.166,,12.266
44,Dominiqua Belanyi,Iceland,4.5,7.7,,12.2
44,Anastasija Dubova,Latvia,4.5,7.7,,12.2
46,Ellis O’Reilly,Ireland,4.8,7.366,,12.166
47,Tutya Yilmaz,Turkey,5.7,6.466,,12.166
48,Aliaksandra Koshaleva,Belarus,4.4,7.733,,12.133
49,Tzuf Feldon,Israel,5.1,7.033,,12.133
50,Michelle Timm,Germany,4.7,7.366,,12.066
51,Marina Nekrasova,Azerbaijan,4.8,7.266,,12.066
52,Kitti Honti,Hungary,4.7,7.4,-0.1,12
53,Veronika Cenkova,Czech Republic,4.6,7.4,,12
53,Dina Nygaard,Norway,4.6,7.4,,12
55,Houry Gebeshian,Armenia,4.5,7.466,,11.966
56,Rosanna Ojala,Finland,4.7,7.366,-0.1,11.966
57,Norma Robertsdottir,Iceland,4.8,7.166,,11.966
58,Barbora Mokosova,Slovakia,4.7,7.266,-0.1,11.866
59,Martine Skregelid,Norway,4.6,7.266,,11.866
60,Maria Simou,Greece,5.1,6.766,,11.866
61,Mariia Smirnova,Azerbaijan,4.5,7.166,,11.666
62,Ralitsa Mileva,Bulgaria,5,6.633,,11.633
63,Monica Sileoni,Finland,4.6,6.966,,11.566
64,Zoi Lima,Portugal,4.9,6.6,,11.5
65,Andrea Orradottir,Iceland,4.5,6.966,-0.1,11.366
66,Tjasa Kysselef,Slovenia,4.5,6.8,,11.3
67,Mette Hulgaard,Denmark,4.4,6.866,,11.266
68,Mia Haerum,Norway,4.1,7,,11.1
69,Gaya Giladi,Israel,4.2,6.833,,11.033
70,Ekin Morova,Turkey,4.3,6.733,-0.1,10.933
71,Anastasiya Yekimenka,Belarus,4,6.866,,10.866
72,Boglarka Devai,Hungary,4.1,6.7,,10.8
73,Nora Fernandez,Spain,5.3,5.5,,10.8
74,Thelma Hermannsdottir,Iceland,4.1,6.633,,10.733
75,Vaida Zitineviciute,Lithuania,4.6,5.9,,10.5
76,Suzanne Buttigieg,Malta,4.5,5.966,,10.466
77,Anna-Maria Kanyai,Czech Republic,5.1,5.233,,10.333
78,Paula Raya,Spain,5,5.2,,10.2
79,Albena Zlatkova,Bulgaria,4.3,5.766,,10.066
80,Kirsty Caruana,Malta,3.5,6.533,,10.033
81,Sofie Bråten,Norway,4.8,5.166,,9.966
82,Diana Jerofejeva,Latvia,3.5,6.4,,9.9
83,Claire Rose Azzopardi,Malta,3.3,6.433,-0.1,9.633
84,Julie Krogsgaard,Denmark,2.4,6.966,,9.366
85,Alina Circene,Latvia,4.4,4.566,,8.966
86,Linnea Wang,Denmark,4.6,4.266,,8.866
87,Nato Dzidziguri,Georgia,3.6,5.266,-0.1,8.766
88,Gabriele Blazyte,Lithuania,2.5,5.5,,8
89,Kristina Pravdina,Azerbaijan,0.7,8.433,-8,1.133
