Rank,Athlete,Nation,D,E,ND,Total
1,Tang Chia-Hung,Chinese Taipei,6.2,8.733,,14.933
2,Samuel Mikulak,United States,6.1,8.766,,14.866
3,Tin Srbic,Croatia,6.2,8.633,,14.833
4,Arthur Mariano,Brazil,6.3,8.3,,14.6
5,Artur Dalaloyan,Russia,6,8.433,,14.433
6,Lin Chaopan,China,6.5,7.933,,14.433
7,Tyson Bull,Australia,6,8.366,,14.366
8,Daiki Hashimoto,Japan,6.1,8.266,,14.366
9,Oliver Hegi,Switzerland,6.2,8.166,,14.366
10,Sun Wei,China,6,8.333,,14.333
11,Nikita Nagornyy,Russia,5.9,8.4,,14.3
12,Niccolo Mozzato,Italy,5.4,8.8,,14.2
13,Carlo Macchini,Italy,5.7,8.5,,14.2
14,Shane Wiskus,United States,5.7,8.466,,14.166
15,James Hall,Great Britain,6.1,8.066,,14.166
16,Robert Tvorogal,Lithuania,6.1,7.975,,14.075
17,David Belyavskiy,Russia,5.8,8.266,,14.066
18,Kazuma Kaya,Japan,6,8.066,,14.066
19,Ivan Stretovich,Russia,6.3,7.766,,14.066
20,Xiao Ruoteng,China,6,8.033,,14.033
20,Yuya Kamoto,Japan,6,8.033,,14.033
22,Pablo Brägger,Switzerland,6.2,7.766,,13.966
23,Park Min-soo,South Korea,5.7,8.2,,13.9
24,Deng Shudi,China,6.1,7.8,,13.9
24,Milad Karimi,Kazakhstan,6.1,7.8,,13.9
26,Eddy Yusof,Switzerland,5.5,8.366,,13.866
27,Manrique Larduet,Cuba,5.9,7.966,,13.866
28,Petro Pakhniuk,Ukraine,5.3,8.466,,13.766
29,Bart Deurloo,Netherlands,5.5,8.266,,13.766
30,Ahmet Önder,Turkey,5.7,8.033,,13.733
31,Lukas Dauser,Germany,5.4,8.3,,13.7
32,Joel Plata,Spain,5.9,7.8,,13.7
33,David Vecsernyes,Hungary,6,7.7,,13.7
34,Gabriel Swan,Australia,5.3,8.366,,13.666
35,Andreas Toba,Germany,5.8,7.816,,13.616
36,Yerbol Jantykov,Kazakhstan,5.2,8.4,,13.6
37,David Jessen,Czech Republic,5.4,8.2,,13.6
37,Ryan Sheppard,Hungary,5.4,8.2,,13.6
37,Isaac Nunez,Mexico,5.4,8.2,,13.6
40,Philipp Herder,Germany,5.2,8.366,,13.566
41,Noah Kuavita,Belgium,6,7.566,,13.566
42,Max Whitlock,Great Britain,5,8.533,,13.533
43,Jimmy Verbaeys,Belgium,5.1,8.433,,13.533
44,Marios Georgiou,Cyprus,5.5,8.033,,13.533
45,Antoine Borello,France,5.5,8.016,,13.516
46,Carlos Calvo,Colombia,5.2,8.3,,13.5
47,Samuel Zakutney,Canada,5.5,8,,13.5
47,Alexander Shatilov,Israel,5.5,8,,13.5
49,Alexander Benda,Austria,5.6,7.9,,13.5
49,Luka van den Keybus,Belgium,5.6,7.9,,13.5
51,Vlad Cotuna,Romania,5.4,8.066,,13.466
52,Andrey Likhovitskiy,Belarus,5.7,7.766,,13.466
53,Karim Rida,Germany,4.8,8.6,,13.4
54,Lee Jung-hyo,South Korea,5.1,8.266,,13.366
54,Frank Rijken,Netherlands,5.1,8.266,,13.366
56,Randy Leru,Cuba,6.2,7.166,,13.366
57,Andrei Muntean,Romania,4.9,8.433,,13.333
58,Ferhat Arican,Turkey,5.1,8.233,,13.333
59,Audrys Nin Reyes,Dominican Republic,5.6,7.733,,13.333
60,Lee Jun-ho,South Korea,5.7,7.633,,13.333
61,Christian Baumann,Switzerland,5.8,7.533,,13.333
62,Tomas Gonzalez,Chile,4.7,8.566,,13.266
63,Nicolau Mir,Spain,5,8.266,,13.266
64,Giarnni Regini-Moran,Great Britain,5.2,8.066,,13.266
65,Sofus Heggemsnes,Norway,4.6,8.633,,13.233
66,Lee Chih Kai,Chinese Taipei,4.9,8.333,,13.233
67,Oleg Verniaiev,Ukraine,5,8.233,,13.233
68,Ludovico Edalli,Italy,5.5,7.733,,13.233
69,Ibrahim Colak,Turkey,4.9,8.3,,13.2
70,Ilias Georgiou,Cyprus,5.7,7.5,,13.2
71,David Huddleston,Bulgaria,4.7,8.466,,13.166
72,Nikolaos Iliopoulos,Greece,5.5,7.666,,13.166
73,Hsu Ping Chien,Chinese Taipei,4.6,8.533,,13.133
74,Andres Martinez,Colombia,5,8.116,,13.116
75,Loris Frasca,France,4.9,8.2,,13.1
75,Le Thanh Tung,Vietnam,4.9,8.2,,13.1
77,Rafael Rosendi,Cuba,5.7,7.366,,13.066
78,Vlada Rakovic,Serbia,4.5,8.533,,13.033
79,Aleh Tsiaselski,Belarus,4.8,8.233,,13.033
80,Vinzenz Höck,Austria,4.9,8.133,,13.033
80,Devy Dyson,New Zealand,4.9,8.133,,13.033
82,Carlos Edriel Yulo,Philippines,5.1,7.933,,13.033
82,Yul Moldauer,United States,5.1,7.933,,13.033
84,Ivan Tikhonov,Azerbaijan,5.1,7.9,,13
85,Kim Han-sol,South Korea,4.4,8.566,,12.966
86,Nestor Abad,Spain,5.8,7.166,,12.966
87,Yu Chao Wei,Chinese Taipei,4.8,8.133,,12.933
88,Daniel Radovesnicky,Czech Republic,4.7,8.2,,12.9
89,Joel Alvarez,Chile,4.9,8,,12.9
90,Andres Perez,Puerto Rico,5,7.9,,12.9
91,Rene Cournoyer,Canada,5.2,7.7,,12.9
92,Cory Paterson,Canada,5.6,7.3,,12.9
93,Dzianis Sanuvonh,Belarus,4.5,8.366,,12.866
94,Ilya Yakauleu,Belarus,4.7,8.166,,12.866
95,Yordan Aleksandrov,Bulgaria,5,7.866,,12.866
96,Manuel Martinez,Colombia,5.1,7.766,,12.866
97,Jacob Buus,Denmark,4.9,7.933,,12.833
98,Kakeru Tanigawa,Japan,5.5,7.333,,12.833
99,Artur Davtyan,Armenia,4.3,8.5,,12.8
100,Elias Koski,Finland,4.8,8,,12.8
101,David Rumbutis,Sweden,4.3,8.466,,12.766
102,Yogeshwar Singh,India,4.6,8.166,,12.766
103,Mitchell Morgans,Australia,6,6.766,,12.766
104,Eeli Mikkola,Finland,4.1,8.633,,12.733
104,Cyril Tommasone,France,4.1,8.633,,12.733
106,Olegs Ivanovs,Latvia,4.6,8.133,,12.733
107,Yevgen Yudenkov,Ukraine,4.8,7.933,,12.733
108,Mohamed Afify,Egypt,4.4,8.3,,12.7
109,Valgard Reinhardsson,Iceland,4.5,8.2,,12.7
110,Matthias Schwab,Austria,5.3,7.4,,12.7
111,Benedek Tomcsanyi,Hungary,4.3,8.366,,12.666
112,Khabibullo Ergashev,Uzbekistan,4.6,8.066,,12.666
113,Oskar Kirmes,Finland,4.7,7.966,,12.666
114,Stian Skjerahaug,Norway,4.5,8.133,,12.633
115,Rasuljon Abdurakhimov,Uzbekistan,4.6,8.033,,12.633
116,Adickxon Trejo,Venezuela,5,7.633,,12.633
117,Akim Mussayev,Kazakhstan,4.5,8.1,,12.6
118,Petar Vefic,Serbia,4.3,8.266,,12.566
119,Santiago Mayol,Argentina,4.5,8.066,,12.566
120,Matvei Petrov,Albania,4.9,7.666,,12.566
121,Loo Phay Xing,Malaysia,5.1,7.466,,12.566
122,Enkhtulga Altansukh,Mongolia,4.6,7.933,,12.533
123,Bernardo Almeida,Portugal,4.9,7.633,,12.533
124,Slavomir Michnak,Slovakia,4.4,8.1,,12.5
125,Krisztofer Meszaros,Hungary,4.5,8,,12.5
125,Abdulla Azimov,Uzbekistan,4.5,8,,12.5
127,Adria Vera,Spain,5,7.5,,12.5
128,Jim Man Hin,Hong Kong,4.5,7.966,,12.466
129,Bojan Dejanovic,Serbia,4,8.433,,12.433
130,Reiss Beckford,Jamaica,4.9,7.533,,12.433
131,Francisco Barretto,Brazil,6.1,6.333,,12.433
132,Robert Kirmes,Finland,4.3,8.1,,12.4
133,Jackson Payne,Canada,5.7,6.7,,12.4
134,Rihards Trams,Latvia,4.1,8.266,,12.366
135,Joe Fraser,Great Britain,4.9,7.433,,12.333
136,Ilyas Azizov,Kazakhstan,4.2,8.066,,12.266
137,Odin Kalvø,Norway,4,8.233,,12.233
137,Kim Vanström,Sweden,4,8.233,,12.233
139,Razvan-Denis Marc,Romania,4.9,7.333,,12.233
140,Jose Lopezma,Puerto Rico,5,7.233,,12.233
141,Martin Gudmundsson,Iceland,4,8.2,,12.2
142,Filip Sasnal,Poland,4.2,8,,12.2
143,Karl Idesjö,Sweden,4.9,7.266,,12.166
144,Frantisek Cerny,Czech Republic,5.2,6.966,,12.166
145,Akash Modi,United States,5.8,6.366,,12.166
146,Joseph Fox,Trinidad & Tobago,3.8,8.333,,12.133
147,Daniel Villafañe,Argentina,4.2,7.933,,12.133
147,Vitalijs Kardasovs,Latvia,4.2,7.933,,12.133
149,Lucas Bitencourt,Brazil,4.9,7.233,,12.133
150,Saleem Naghouj,Jordan,4.1,8,,12.1
151,Kevin Crovetto,Monaco,4.4,7.7,,12.1
152,Dinh Phuong Thanh,Vietnam,4.9,7.2,,12.1
153,Daniel Corral,Mexico,5,7.1,,12.1
154,Pietro Giachino,Norway,5.2,6.9,,12.1
155,Victor Rostagno,Uruguay,4.6,7.466,,12.066
156,Tikumporn Surintornta,Thailand,4.4,7.6,,12
157,Ioane Jimsheleishvili,Georgia,4.6,7.4,,12
158,Casimir Schmidt,Netherlands,4.8,7.2,,12
159,Daan Kenis,Belgium,5.2,6.8,,12
160,Michael Tone,Australia,4,7.933,,11.933
161,Toma Modoianu-Zseder,Romania,4.3,7.6,,11.9
162,Petrix Barbosa,Portugal,5.5,6.366,,11.866
163,Bidzina Sitchinava,Georgia,4.3,7.533,,11.833
164,Ashish Kumar,India,4.6,7.166,,11.766
165,Epke Zonderland,Netherlands,5.3,6.466,,11.766
166,Dawid Weglarz,Poland,4.5,7.233,,11.733
167,Mikhail Koudinov,New Zealand,4.6,7.133,,11.733
168,Tomas Kuzmickas,Lithuania,4.8,6.933,,11.733
169,Ahmed Al Dyani,Qatar,4.5,7.166,,11.666
169,Uche Eke,Nigeria,4.5,7.166,,11.666
171,Lukasz Borkowski,Poland,4.8,6.866,,11.666
172,Caio Souza,Brazil,5.8,5.866,,11.666
173,Aditya Rana,India,4,7.6,,11.6
174,Adam Steele,Ireland,3.9,7.666,,11.566
175,Konstantin Kuzovkov,Georgia,3.9,7.533,,11.433
176,Mustafa Arca,Turkey,4.4,7.033,,11.433
177,Murad Agharzayev,Azerbaijan,4.2,7.2,,11.4
178,Julien Saleur,France,4.9,6.5,,11.4
179,Jesus Moreto,Peru,4.4,6.933,,11.333
180,Tarik Soto,Costa Rica,4.3,6.866,,11.166
180,Israel Chiriboga,Ecuador,4.3,6.866,,11.166
182,Vladyslav Hryko,Ukraine,4.6,6.533,,11.133
183,Artem Dolgopyat,Israel,4.7,6.4,,11.1
184,Jamorn Prommanee,Thailand,4,7.066,,11.066
185,Fabian de Luna,Mexico,4,6.933,,10.933
186,Ali Al Jafar,Kuwait,3.2,7.433,,10.633
187,Hillal Metidji,Algeria,4.6,5.966,,10.566
188,Abellino Rubio,Guatemala,2.7,7.733,,10.433
189,Arian Leon Prado,Peru,3.2,7.233,,10.433
190,Isaac Cotto,Puerto Rico,3.9,6.466,,10.366
191,Gerardo Cabrera,Uruguay,2.9,7.433,,10.333
192,Meshari Al Deriwish,Kuwait,3.4,6.666,,10.066
193,Ri Wi Chol,North Korea,5.3,4.733,,10.033
194,Mohamed Aziz Trabelsi,Tunisia,3.6,6.366,,9.966
195,Sabah Al Subaiei,Kuwait,2.6,6.5,,9.1
196,Andres Valverde,Costa Rica,2.4,6.666,,9.066
197,Nabil Zouhair,Morocco,3.8,5.233,,9.033
198,Fabio Chicas,El Salvador,2.7,6.266,,8.966
