Rank,Athlete,Nation,FX,PH,SR,VT,PB,HB,AA
1,Nikita Nagornyy,Russia,14.9,14.033,14.4,14.9,14.8,14.3,87.333
2,Artur Dalaloyan,Russia,14.733,13.366,14.133,15.133,14.733,14.433,86.531
3,Xiao Ruoteng,China,14.833,13.4,13.833,14.766,14.966,14.033,85.831
4,Kazuma Kaya,Japan,13.933,14.633,14.033,14.266,14.8,14.066,85.731
5,Sun Wei,China,14.166,12.9,14,14.7,14.8,14.333,84.899
6,Petro Pakhniuk,Ukraine,14.133,13.7,13.466,14.5,15.033,13.766,84.598
7,Lee Chih Kai,Chinese Taipei,14.333,14.966,13.5,14.483,13.966,13.233,84.481
8,Oleg Verniaiev,Ukraine,13,14.6,13.933,14.733,14.8,13.233,84.299
9,Pablo Brägger,Switzerland,14.141,13.266,13.266,14.2,14.666,13.966,83.505
10,Ivan Stretovich,Russia,13.766,13.733,13.341,14.266,14.266,14.066,83.438
11,Yul Moldauer,United States,14.466,12.666,13.8,14.533,14.4,13.033,82.898
12,Oliver Hegi,Switzerland,13.733,12.566,13.233,14.5,14.433,14.366,82.831
13,Andreas Toba,Germany,13.633,13.566,14,14.166,13.8,13.616,82.781
14,Tang Chia-Hung,Chinese Taipei,14.166,11.766,13.766,14.566,13.566,14.933,82.763
15,Deng Shudi,China,14.166,12.366,14.1,13.7,14.466,13.9,82.698
16,Joe Fraser,Great Britain,13.8,13.5,13.866,14.066,15,12.333,82.565
17,Kim Han-sol,South Korea,14.666,12.7,13.533,14.566,14,12.966,82.431
18,Carlos Edriel Yulo,Philippines,14.633,12.466,13.166,14.433,14.433,13.033,82.164
19,Nestor Abad,Spain,14.1,13,13.6,14.266,14,12.966,81.932
20,James Hall,Great Britain,14.166,12,13.766,14.066,13.766,14.166,81.93
21,Manrique Larduet,Cuba,13.833,12.8,13.666,14.633,13.1,13.866,81.898
22,Caio Souza,Brazil,14.033,13.033,14.066,14.466,14.633,11.666,81.897
23,Yevgen Yudenkov,Ukraine,14.133,13.533,13.666,13.733,14.033,12.733,81.831
24,Lee Jung-hyo,South Korea,13.433,13.566,13.566,13.633,14.266,13.366,81.83
