sample	diameter
1	1.04
1	1.043
1	1.041
1	1.047
1	1.04
2	1.043
2	1.041
2	1.04
2	1.045
2	1.043
3	1.042
3	1.042
3	1.041
3	1.04
3	1.05
4	1.04
4	1.043
4	1.043
4	1.04
4	1.041
5	1.042
5	1.036
5	1.036
5	1.036
5	1.041
6	1.042
6	1.043
6	1.042
6	1.036
6	1.04
7	1.041
7	1.033
7	1.045
7	1.045
7	1.038
8	1.042
8	1.044
8	1.039
8	1.041
8	1.038
9	1.04
9	1.045
9	1.042
9	1.042
9	1.043
10	1.042
10	1.038
10	1.044
10	1.038
10	1.042
11	1.036
11	1.036
11	1.038
11	1.045
11	1.042
12	1.043
12	1.043
12	1.043
12	1.045
12	1.036
13	1.042
13	1.046
13	1.042
13	1.046
13	1.043
14	1.042
14	1.045
14	1.037
14	1.038
14	1.043
15	1.042
15	1.047
15	1.046
15	1.043
15	1.042
16	1.037
16	1.033
16	1.036
16	1.039
16	1.044
17	1.044
17	1.036
17	1.041
17	1.046
17	1.039
18	1.035
18	1.04
18	1.042
18	1.042
18	1.041
19	1.041
19	1.043
19	1.038
19	1.042
19	1.042
20	1.038
20	1.041
20	1.046
20	1.036
20	1.039
21	1.043
21	1.041
21	1.045
21	1.038
21	1.041
22	1.04
22	1.046
22	1.041
22	1.039
22	1.041
23	1.043
23	1.037
23	1.041
23	1.045
23	1.031
24	1.043
24	1.045
24	1.038
24	1.043
24	1.042
25	1.038
25	1.045
25	1.036
25	1.038
25	1.041
26	1.034
26	1.042
26	1.037
26	1.039
26	1.043
