"x1","x2","y"
0,-100,0
1,-99.21875,4.96066689429334
2,-98.4375,2.17870731441565
3,-97.65625,8.83502046802404
4,-96.875,13.9379008396883
5,-96.09375,15.13643323141
6,-95.3125,12.0390058069022
7,-94.53125,36.6925579641451
8,-93.75,16.2354553853904
9,-92.96875,56.3003768497868
10,-92.1875,20.9332180189516
11,-91.40625,53.1133823929167
12,-90.625,81.5044894248266
13,-89.84375,-7.26662822892082
14,-89.0625,23.2564145291136
15,-88.28125,29.2816099081903
16,-87.5,55.8504127382424
17,-86.71875,28.0541506718535
18,-85.9375,-55.6948951525719
19,-85.15625,-50.5814932858697
20,-84.375,97.1795338292077
21,-83.59375,33.7149290487041
22,-82.8125,-29.56507109512
23,-82.03125,43.1230516350574
24,-81.25,111.554385560285
25,-80.46875,150.228423063248
26,-79.6875,35.3031051564776
27,-78.90625,46.0137033304778
28,-78.125,-36.6121327709077
29,-77.34375,91.0293965802137
30,-76.5625,28.1628074423928
31,-75.78125,97.0191576409556
32,-75,116.109589582644
33,-74.21875,141.535582450015
34,-73.4375,34.0305064723096
35,-72.65625,113.003108630858
36,-71.875,-43.7496248932807
37,-71.09375,24.0437833799173
38,-70.3125,19.6435228425846
39,-69.53125,-101.776946695837
40,-68.75,91.6398085513805
41,-67.96875,107.860635216421
42,-67.1875,62.858686921912
43,-66.40625,160.608288270158
44,-65.625,33.6749752172614
45,-64.84375,-23.3015439977365
46,-64.0625,141.881758381762
47,-63.28125,28.0102914384529
48,-62.5,245.13372112524
49,-61.71875,66.4370221438922
50,-60.9375,176.502288340221
51,-60.15625,145.992627050803
52,-59.375,33.855750148441
53,-58.59375,284.62086709795
54,-57.8125,189.24562501747
55,-57.03125,131.904921125957
56,-56.25,155.223683696644
57,-55.46875,203.907675030301
58,-54.6875,139.108114843173
59,-53.90625,-222.278379812046
60,-53.125,167.310954423679
61,-52.34375,90.541123585601
62,-51.5625,160.531090043336
63,-50.78125,213.091039648054
64,-50,321.166313893463
65,-49.21875,49.6707822683195
66,-48.4375,318.373127429827
67,-47.65625,193.659898046778
68,-46.875,292.111829422876
69,-46.09375,280.154292424109
70,-45.3125,256.235442801361
71,-44.53125,9.40836072336458
72,-43.75,146.763160328058
73,-42.96875,253.002401651933
74,-42.1875,23.0660430496931
75,-41.40625,84.9819278139215
76,-40.625,256.936467647616
77,-39.84375,289.143275626527
78,-39.0625,245.410243812266
79,-38.28125,35.3285950092707
80,-37.5,1.53505621634309
81,-36.71875,424.777285588398
82,-35.9375,224.236615755253
83,-35.15625,198.837328040491
84,-34.375,166.064381693433
85,-33.59375,-14.4421621772898
86,-32.8125,296.075966462947
