"x","y"
-50,-75.5853190583215
-49,-41.1455335229645
-48,-73.3235559370206
-47,-72.0339449941317
-46,-55.8327787310319
-45,-15.1295661966393
-44,-25.7233797525198
-43,-37.1113582369363
-42,-39.4800031561913
-41,-88.3294743160186
-40,-56.0708784717986
-39,-24.167472029449
-38,-15.3363213889612
-37,-31.5099836441328
-36,-30.4272084748487
-35,-26.5175598959425
-34,-39.9363900904072
-33,-14.7258941549529
-32,-41.9512044090443
-31,-6.47349944667915
-30,-25.1372466484521
-29,-36.4145765588192
-28,-29.8625377065519
-27,-43.140896969282
-26,-24.3542565400901
-25,-33.9863900825288
-24,-46.4063410826106
-23,-10.4655225599356
-22,3.73871324963212
-21,-22.1702300002065
-20,-15.8287571262202
-19,-8.57554521725169
-18,-9.98326529766059
-17,-3.28381631668989
-16,-29.3831031936218
-15,-37.0460747162982
-14,-34.2727204184078
-13,-3.17143370930899
-12,-37.0454282989219
-11,-3.65517127310391
-10,-44.5973157053261
-9,-20.6677057903143
-8,0.223636154945325
-7,8.47429537527193
-6,16.2658203613058
-5,14.7480295566949
-4,28.4321780185703
-3,-25.2986928144312
-2,-18.8682712628726
-1,3.81271119016721
0,-5.69944995202572
1,10.9754190005672
2,-47.6226316951472
3,18.8519048713959
4,5.34769079708573
5,0.615416836483193
6,-6.53748937397079
7,8.22856977890721
8,51.2143910952282
9,34.631016595383
10,2.8143766021073
11,10.2802604066947
12,30.6971579302152
13,14.5015377342692
14,30.541637658258
15,8.72963198807378
16,44.8679090176992
17,9.9295901878882
18,13.0970352042197
19,17.7133927582279
20,19.8742105439501
21,15.2042223791804
22,34.8610327917599
23,26.0475109482549
24,11.8182551043119
25,3.12438943687633
26,23.0068167866727
27,28.4430035963707
28,44.8037810981368
29,56.9546352915276
30,47.1958736078893
31,6.69048005680511
32,16.337640657156
33,36.9655022516915
34,42.0772255681238
35,44.3765888493483
36,15.7844847527299
37,43.7715793990666
38,13.5262980443733
39,27.3658244926565
40,13.1404918369869
41,58.4736131948847
42,40.9517090768268
43,61.2136934816616
44,32.1945373090763
45,42.3234732968868
46,53.0994659475154
47,18.1092515693678
48,44.4161521146503
49,29.8509806137177
50,33.5860396862302
