"x","y"
0,2054.18320081756
50,-832.9480211474
100,706.743397820741
150,2811.12018011138
200,5723.24673996866
250,2384.09158622473
300,7464.33810980618
350,8642.05161163211
400,7838.78675492108
450,8548.68426339328
500,6044.71762280539
550,7809.84744939581
600,8533.34051517397
650,12496.1370799467
700,11578.6223092824
750,14793.0485199913
800,14060.1954525113
850,16279.7110495865
900,18825.4365689829
950,16054.2110766061
1000,19338.6713279188
0,2282.23138663545
10,-1873.14487230405
20,944.042596515268
30,-2032.6694242321
40,-1002.67598763481
50,-109.315444737673
60,-2165.65800104663
70,228.327742420137
80,3332.14507432282
90,336.093980126083
100,1366.48069282621
110,2251.39495255053
120,1795.24784229323
130,131.305608466268
140,4158.23991164193
150,3384.80042915419
160,4319.43916435912
170,381.661755327135
180,4256.26567624137
190,2561.64657786116
200,5199.67776469514
210,4336.36116291955
220,5331.59657373652
230,4132.21786984801
240,4172.31748118624
250,5910.13739013672
260,1493.98721400276
270,4397.38039021939
280,6107.8824320212
290,6050.38933889568
300,4939.71773281321
200,5441.2568609938
220,3262.582643345
240,2462.7836621888
260,1778.0742828697
280,2310.79696103558
300,3971.6302430965
320,5545.80557915941
340,6766.0304585062
360,5594.98112313077
380,8991.25554555655
400,5635.6202365607
420,6988.39435755834
440,6588.36804512516
460,8859.22280242294
480,6862.10068430379
500,8545.27148965374
520,10631.8640238754
540,6899.48148620874
560,12005.9279802218
580,9148.43762706593
600,12510.6421011277
620,9914.1009349525
640,10196.6495847851
660,11412.1074704416
680,14267.1900150701
700,14460.0368237831
720,11973.9372608401
740,14657.9241930097
760,16117.7079833075
780,13321.9569086432
800,15349.0880722888
