Country,Name,vault_score,vault_rank,uneven_score,uneven_rank,bb_score,bb_rank,floor_score,floor_rank,total_score,total_rank
CHN,Yang Yilin,15.2,12.0,16.65,1.0,15.5,11.0,15.0,10.0,62.35,3.0
CHN,Jiang Yuyuan,14.775,38.0,15.55,9.0,15.25,15.0,15.05,8.0,60.625,7.0
CHN,Deng Linlin,15.225,10.0,14.725,29.0,15.55,9.0,14.95,12.0,60.45,9.0
CHN,Cheng Fei,16.15,1.0,0.0,15.875,5.0,15.75,1.0,47.775,62.0,0.0
CHN,He Kexin,15.25,9.0,15.725,6.0,0.0,0.0,30.975,79.0,0.0,0.0
CHN,Li Shanshan,0.0,0.0,16.125,1.0,14.2,40.0,30.325,82.0,0.0,0.0
USA,Shawn Johnson,16.0,2.0,15.325,11.0,15.975,3.0,15.425,3.0,62.725,1.0
USA,Nastia Liukin,15.1,16.0,15.95,5.0,15.975,2.0,15.35,4.0,62.375,2.0
USA,Bridget Sloan,15.275,7.0,14.8,25.0,15.5,10.0,14.85,14.0,60.425,11.0
USA,Alicia Sacramone,15.85,3.0,0.0,15.95,4.0,14.425,31.0,46.225,63.0,0.0
USA,Chellsie Memmel,0.0,15.05,16.0,0.0,0.0,15.05,94.0,0.0,0.0,0.0
USA,Samantha Peszek,0.0,14.8,23.0,0.0,0.0,14.8,96.0,0.0,0.0,0.0
RUS,Ksenia Semenova,14.75,40.0,16.475,2.0,15.775,8.0,14.475,29.0,61.475,4.0
RUS,Anna Pavlova,15.35,6.0,14.6,35.0,15.825,6.0,15.125,7.0,60.9,5.0
RUS,Ksenia Afanasyeva,15.175,13.0,14.825,21.0,15.775,7.0,15.025,9.0,60.8,6.0
RUS,Ekaterina Kramarenko,15.15,15.0,15.5,10.0,14.625,36.0,15.15,6.0,60.425,10.0
RUS,Svetlana Klyukina,15.175,14.0,14.975,18.0,0.0,13.95,53.0,44.15,65.0,0.0
RUS,Ludmila Grebenkova,0.0,0.0,14.6,37.0,0.0,14.6,97.0,0.0,0.0,0.0
0,Romania,59.725,4.0,58.45,9.0,60.95,4.0,59.3,4.0,238.425,4.0
ROU,Steliana Nistor,14.9,27.0,15.975,4.0,15.075,22.0,14.55,24.0,60.5,8.0
ROU,Sandra Izbaşa,15.1,20.0,13.575,65.0,15.225,16.0,15.475,2.0,59.375,13.0
ROU,Anamaria Tămârjan,15.025,23.0,14.275,51.0,15.2,17.0,14.5,27.0,59.0,16.0
ROU,Gabriela Drăgoi,0.0,14.225,53.0,15.45,12.0,14.25,38.0,43.925,66.0,0.0
ROU,Andreea Acatrinei,14.35,53.0,0.0,14.175,52.0,14.775,16.0,43.3,71.0,0.0
ROU,Andreea Grigore,14.7,43.0,13.975,59.0,0.0,0.0,28.675,88.0,0.0,0.0
AUS,Shona Morgan,14.7,45.0,14.5,39.0,15.35,14.0,14.525,25.0,59.075,15.0
AUS,Georgia Bonora,14.85,29.0,14.5,38.0,15.025,24.0,14.525,26.0,58.9,18.0
AUS,Ashleigh Brennan,14.775,37.0,13.7,62.0,14.15,54.0,14.625,19.0,57.25,30.0
AUS,Daria Joura,15.1,18.0,15.125,13.0,12.475,80.0,13.45,70.0,56.15,44.0
AUS,Lauren Mitchell,14.725,42.0,0.0,14.1,57.0,14.65,17.0,43.475,68.0,0.0
AUS,Olivia Vivian,0.0,14.925,20.0,0.0,0.0,14.925,95.0,0.0,0.0,0.0
FRA,Marine Petit,14.85,31.0,14.325,48.0,14.8,29.0,14.375,32.0,58.35,20.0
