Part	Operator	Repetition	Value
1	1	1	488.418
2	1	1	484.798
3	1	1	489.445
4	1	1	485.758
5	1	1	489.043
6	1	1	484.415
7	1	1	483.426
8	1	1	483.939
9	1	1	491.625
10	1	1	486.168
1	1	2	487.071
2	1	2	485.125
3	1	2	489.529
4	1	2	486.635
5	1	2	488.774
6	1	2	484.624
7	1	2	482.565
8	1	2	484.589
9	1	2	491.752
10	1	2	486.466
1	2	1	489.424
2	2	1	486.353
3	2	1	490.768
4	2	1	485.437
5	2	1	489.762
6	2	1	485.3
7	2	1	483.869
8	2	1	485.025
9	2	1	492.408
10	2	1	488.344
1	2	2	488.896
2	2	2	485.25
3	2	2	490.75
4	2	2	486.666
5	2	2	489.66
6	2	2	485.065
7	2	2	482.968
8	2	2	484.079
9	2	2	491.326
10	2	2	487.663
