School	Public	Location	Earn	SAT	ACT	Price	Price_with_aid	need_fraction	merit_aided
Princeton University	0	"Princeton, NJ"	62800	1510	33	61300	20600	0.59	
University of Michigan-Ann Arbor	1	"Ann Arbor, MI"	59000	1380	30	28100	17300	0.3	0.16
Harvard University	0	"Cambridge, MA"	62900	1510	34	64800	16500	0.58	
Rice University	0	"Houston, TX"	63700	1460	33	58600	22400	0.39	0.11
University of California-Berkeley	1	"Berkeley, CA"	60300	1360	30	35700	18200	0.51	0.06
Brigham Young University-Provo	1	"Provo, UT"	51800	1260	29	18500	13400	0.39	0.24
Amherst College	1	"Amherst, MA"	53400	1440	32	66600	16000	0.58	
Cooper Union for the Advancement of Science and Art	0	"New York, NY"	63200	1360	31	62800	19000	0.32	0.55
University of Virginia-Main Campus	1	"Charlottesville, VA"	55400	1360	31	28100	15300	0.27	0.03
Stanford University	0	"Stanford, CA"	68600	1480	33	65300	19600	0.48	
Massachusetts Institute of Technology	0	"Cambridge, MA"	74800	1500	34	63500	24200	0.56	
Yale University	0	"New Haven, CT"	58800	1500	34	66600	21100	0.5	
Texas A & M University-College Station	1	"College Station, TX"	55100	1180	26	23900	12800	0.37	0.06
University of California-San Diego	1	"La Jolla, CA"	53700	1280	28	32500	14900	0.58	0.02
University of Florida	1	"Gainesville, FL"	49700	1270	29	21400	16100	0.34	0.06
University of California-Irvine	1	"Irvine, CA"	50600	1130	24	32900	13200	0.67	0.02
University of California-Davis	1	"Davis, CA"	51000	1200	26	35100	17700	0.63	0.04
Virginia Polytechnic Institute and State University	1	"Blacksburg, VA"	55300	1220	25	26900	20100	0.32	0.11
University of Maryland-College Park	1	"College Park, MD"	54500	1310	28	25300	16200	0.35	0.13
University of California-Los Angeles	1	"Los Angeles, CA"	52200	1300	28	34300	13600	0.54	0.03
Clemson University	1	"Clemson, SC"	53100	1250	29	30300	18300	0.37	0.28
University of Illinois at Urbana-Champaign	1	"Champaign, IL"	56800	1360	29	30800	17700	0.37	0.12
Pomona College	0	"Claremont, CA"	49200	1460	33	65200	20900	0.56	
California Institute of Technology	0	"Pasadena, CA"	76000	1550	34	63500	29300	0.5	
Saint Johns University	0	"Collegeville, MN"	47400	1100	26	52400	26500	0.66	0.24
University of Pennsylvania	0	"Philadelphia, PA"	60700	1450	32	66800	24700	0.47	
Vanderbilt University	0	"Nashville, TN"	58300	1490	33	64800	24200	0.45	0.11
