name,fx,hb,pb,ph,sr,vt
aidan cuy,0.0,0.0,12.95,0.0,12.3,13.8
alex diab,13.225,0.0,0.0,0.0,14.144166666666663,0.0
asher hong,13.845625,12.072875,14.579444444444444,13.124,13.999777777777778,14.393642857142856
blake sun,0.0,0.0,13.6732,13.2232,0.0,0.0
brandon dang,0.0,0.0,0.0,13.55,0.0,0.0
brody malone,13.52475,14.403200000000002,14.48542857142857,13.745,13.758166666666666,14.45825
caleb melton,12.45,12.35,12.275,10.45,11.625,13.625
cameron bock,13.5432,13.280333333333331,14.1166,13.299833333333334,12.9632,14.038666666666666
colin flores,12.975,11.075,12.175,12.1,12.975,13.5
colt walker,12.8032,13.105333333333334,14.458,12.9375,13.619166666666668,14.15
connor mccool,14.083333333333334,0.0,0.0,0.0,0.0,13.55
curran phillips,0.0,13.466499999999998,14.762888888888888,0.0,0.0,14.725
daniel simmons,13.425,0.0,13.3,0.0,12.75,13.975
donnell whittenburg,13.637375,12.904571428571428,13.842714285714283,12.0165,14.4198,14.488666666666669
drake andrews,0.0,13.0,12.075,9.325,0.0,0.0
evan hymanson,12.2375,12.975,13.0125,10.7625,12.8,13.316666666666668
fred richard,13.075,13.516666666666666,13.7,12.5,12.65,0.0
frederick nathaniel richard,14.030333333333331,13.544333333333334,14.1665,13.8198,13.54975,14.2915
fuzzy benas,0.0,13.175,13.85,12.1,13.175,0.0
garrett braunton,12.5,10.5,13.35,11.6,13.0,0.0
ian gunther,12.75,13.35,12.85,12.65,13.15,13.55
ian lasic-ellis,13.455333333333334,13.069333333333333,13.903200000000002,13.0932,13.7305,13.275
ian skirkey,0.0,0.0,0.0,14.0165,0.0,0.0
ignacio yockers,0.0,0.0,11.45,12.616666666666667,0.0,0.0
isaiah drake,13.4,12.7125,13.333333333333334,11.9125,12.925,14.225
izaiha mlay,0.0,11.225,11.725,8.350000000000001,10.9,13.25
jack freeman,13.483333333333334,12.383333333333333,0.0,0.0,0.0,0.0
javier alfonso,13.65,0.0,12.983333333333334,0.0,13.883333333333333,0.0
jeremy bischoff,13.0,12.5625,13.25,12.2,12.91,13.9
joshua andrew karnes,13.683,13.483,13.9995,13.3165,12.916,14.332999999999998
joshua karnes,12.5,12.875,14.225,11.6625,12.6,0.0
kameron nelson,13.25,12.05,12.433333333333332,10.3,12.466666666666669,14.2064
kazuki hayashi,13.05,11.6,12.875,9.825,11.95,14.3
khoi young,14.033333333333331,12.80825,13.87075,13.988666666666669,13.066666666666668,14.739375
landen blixt,12.92075,12.8,13.254,12.38325,12.425,14.366666666666667
matt cormier,12.2875,12.6875,12.325,10.775,12.6125,13.883333333333333
michael artlip,13.15,11.825,12.5375,11.7375,12.566666666666668,14.183333333333332
michael jaroh,11.8625,13.5,13.25,12.8375,13.4,13.766666666666666
mike fletcher,11.966666666666669,11.733333333333334,13.016666666666666,12.95,12.883333333333333,13.75
noah newfeld,11.875,12.525,13.275,12.175,12.5,0.0
patrick hoopes,0.0,0.0,0.0,13.583333333333334,0.0,0.0
paul juda,14.18725,14.0264,14.094,13.233,13.6165,14.5497
riley loos,13.624875,12.7532,13.57,12.641666666666666,13.9625,14.216666666666669
rithik puri,12.275,11.125,13.025,10.325,12.1,0.0
ryan swatscheno,11.25,11.175,0.0,0.0,10.725,12.625
samuel phillips,13.625,11.6,0.0,0.0,0.0,0.0
shane wiskus,13.4,13.2875,14.4875,12.916666666666666,13.966666666666669,0.0
stephen nedoroscik,0.0,0.0,0.0,14.254571428571428,0.0,0.0
taylor burkhart,13.714285714285714,12.95,13.825,12.12,13.191666666666668,14.2
taylor christopulos,13.575,12.3,13.05,13.275,0.0,0.0
taylor troy christopulos,0.0,13.0995,0.0,0.0,0.0,0.0
toby liang,13.15,13.075,12.1,12.85,12.55,13.525
troy lipis,0.0,0.0,0.0,0.0,12.716666666666669,0.0
tyler flores,0.0,0.0,12.65,10.025,0.0,13.95
vahe petrosyan,0.0,13.208,11.8,12.7415,12.583,0.0
will fleck,0.0,10.825,12.725,11.475,0.0,0.0
yul moldauer,14.153200000000002,12.2,14.385571428571428,12.869333333333332,13.8875,14.075
zachary nunez,0.0,0.0,13.675,13.65,0.0,13.925
