poll_id,pollster_id,sponsor_ids,display_name,start_date,end_date,sample_size,election_date,party,answer,candidate_id,candidate_name,pct
88670,568,133,YouGov,2024-10-08,2024-10-11,2712.0,2024-11-05,DEM,Harris,16661,Kamala Harris,51.0
88670,568,133,YouGov,2024-10-08,2024-10-11,2712.0,2024-11-05,REP,Trump,16651,Donald Trump,48.0
88647,1554,2178,RMG Research,2024-10-07,2024-10-10,2945.0,2024-11-05,DEM,Harris,16661,Kamala Harris,50.0
88647,1554,2178,RMG Research,2024-10-07,2024-10-10,2945.0,2024-11-05,REP,Trump,16651,Donald Trump,47.0
88664,1424,1875,The New York Times/Siena College,2024-10-07,2024-10-10,857.0,2024-11-05,DEM,Harris,16661,Kamala Harris,50.0
88664,1424,1875,The New York Times/Siena College,2024-10-07,2024-10-10,857.0,2024-11-05,REP,Trump,16651,Donald Trump,47.0
88664,1424,1875,The New York Times/Siena College,2024-10-07,2024-10-10,857.0,2024-11-05,DEM,Harris,16661,Kamala Harris,49.0
88664,1424,1875,The New York Times/Siena College,2024-10-07,2024-10-10,857.0,2024-11-05,REP,Trump,16651,Donald Trump,45.0
88664,1424,1875,The New York Times/Siena College,2024-10-07,2024-10-10,857.0,2024-11-05,GRE,Stein,31116,Jill Stein,2.0
88664,1424,1875,The New York Times/Siena College,2024-10-07,2024-10-10,857.0,2024-11-05,LIB,Oliver,31790,Chase Oliver,1.0
88664,1424,1875,The New York Times/Siena College,2024-10-07,2024-10-10,857.0,2024-11-05,GRE,Stein,31116,Jill Stein,1.0
88664,1424,1875,The New York Times/Siena College,2024-10-07,2024-10-10,857.0,2024-11-05,LIB,Oliver,31790,Chase Oliver,0.0
88665,1424,0,The New York Times/Siena College,2024-10-07,2024-10-10,808.0,2024-11-05,DEM,Harris,16661,Kamala Harris,46.0
88665,1424,0,The New York Times/Siena College,2024-10-07,2024-10-10,808.0,2024-11-05,REP,Trump,16651,Donald Trump,51.0
88665,1424,0,The New York Times/Siena College,2024-10-07,2024-10-10,808.0,2024-11-05,DEM,Harris,16661,Kamala Harris,45.0
88665,1424,0,The New York Times/Siena College,2024-10-07,2024-10-10,808.0,2024-11-05,REP,Trump,16651,Donald Trump,50.0
88665,1424,0,The New York Times/Siena College,2024-10-07,2024-10-10,808.0,2024-11-05,GRE,Stein,31116,Jill Stein,1.0
88665,1424,0,The New York Times/Siena College,2024-10-07,2024-10-10,808.0,2024-11-05,LIB,Oliver,31790,Chase Oliver,0.0
