Rank,Athlete,Nation,D,E,ND,Total
1,Weng Hao,China,6.2,8.833,,15.033
2,Lee Chih-Kai,Chinese Taipei,6.2,8.7,,14.9
3,Tomomasa Hasegawa,Japan,6.5,8.233,,14.733
4,Thierry Pellerin,Canada,6.1,8.133,,14.233
5,Akim Mussayev,Kazakhstan,6,8.2,,14.2
6,Ferhat Arican,Turkey,5.7,8.033,,13.733
7,Bram Louwije,Netherlands,5.9,7.733,,13.633
8,Cyril Tommasone,France,5.8,7.8,,13.6
9,Matija Baron,Croatia,5.8,7.666,,13.466
10,Nariman Kurbanov,Kazakhstan,5.9,7.533,,13.433
11,Ahmet Önder,Turkey,5.3,7.733,,13.033
12,Hibiki Arayashiki,Japan,6.1,6.6,,12.7
13,Christopher Remkes,Australia,6,6.333,,12.333
14,Alexander Shatilov,Israel,5.3,6.666,,11.966
15,Loris Frasca,France,5.1,6.633,,11.733
16,Michael Tone,Australia,5.4,6.2,,11.6
17,Hung Shih-Tung,Chinese Taipei,5.2,6.366,,11.566
18,Jakov Vlahek,Croatia,5.8,5.466,,11.266
