Rank,Athlete,Nation,D,E,ND,Total
1,Ahmet Önder,Turkey,6.2,8.266,,14.466
2,Hibiki Arayashiki,Japan,5.7,8.666,,14.366
3,You Hao,China,6.5,7.8,,14.3
4,Ferhat Arican,Turkey,6.5,7.733,,14.233
5,Mitchell Morgans,Australia,6,7.966,,13.966
6,Mikhail Koudinov,New Zealand,5.9,8.033,,13.933
7,Akim Mussayev,Kazakhstan,5.9,7.891,,13.791
8,Tomomasa Hasegawa,Japan,5.6,7.966,,13.566
9,Tyson Bull,Australia,5.4,7.966,,13.366
10,Milad Karimi,Kazakhstan,5.7,7.533,,13.233
11,Valgard Reinhardsson,Iceland,4.9,8.2,,13.1
12,Bram Louwije,Netherlands,5.5,6.9,,12.4
13,Tang Chia-Hung,Chinese Taipei,5,6.1,,11.1
