Name,VT_Diff,VT_EXEC,VT_ND,VT_Final,VT_Place,UE_Diff,UE_EXEC,UE_ND,UE_Final,UE_Place,BB_Diff,BB_EXEC,BB_ND,BB_Final,BB_Place,FX_Diff,FX_EXEC,FX_ND,FX_Final,FX_Place
Simone Biles,6.4,9.8,-0.5,15.7,0,6,8.35,0,14.35,3,6.4,8.05,0,14.45,1,6.8,8.1,-0.1,14.8,1
Shilese Jones,5,9.35,0,14.35,0,6.3,8.6,0,14.9,1,5.8,7.65,0,13.45,7,5.9,8.25,-0.1,14.05,3
Skye Blakely,5,9.35,0,14.35,0,5.9,8.5,0,14.4,2,6.1,7.95,0,14.05,2,5.6,7.4,-0.1,12.9,14
Leanne Wong,5,9.25,0,14.25,0,5.7,8.3,0,14,6,5.8,7.95,0,13.75,4,5.6,7.85,-0.1,13.35,6
Jordan Chiles,5,9.3,0,14.3,0,5.9,8.3,0,14.2,4,5.2,7.8,0,13,13,5.6,7.6,-0.1,13.1,12
Kaliya Lincoln,5,9.1,0,14.1,0,5.3,7.5,-0.5,12.3,20,5.5,7.85,-0.1,13.25,9,6.1,8.25,0,14.35,2
Amelia Disidore,5,8.85,0,13.85,0,5.1,7.45,0,12.55,16,5.8,7.5,0,13.3,8,5.6,7.85,-0.1,13.35,6
Joscelyn Roberson,5.6,9.05,0,14.65,0,4.7,7.1,0,11.8,25,6,7.2,0,13.2,10,6.2,7.3,-0.2,13.3,9
Katelyn Jong,5,8.85,0,13.85,0,6,8.05,0,14.05,5,5.5,6.35,0,11.85,25,5.6,7.55,0,13.15,10
Madray Johnson,4.6,8.95,0,13.55,0,5,7.9,0,12.9,13,5.7,7.8,0,13.5,6,5.1,7.8,0,12.9,14
Tiana Sumanasekera,5,9.2,0,14.2,0,5.4,6.15,0,11.55,26,5.8,8.05,0,13.85,3,5.3,7.85,0,13.15,10
Addison Fatta,5,8.85,0,13.85,0,5.5,7.85,0,13.35,10,5.2,7.8,0,13,13,5.1,7.1,0,12.2,22
Alicia Zhou,4.2,9,0,13.2,0,5.6,8.2,0,13.8,8,5,7.6,0,12.6,18,4.9,7.8,0,12.7,18
Myli Lew,4.2,8.95,0,13.15,0,5.4,8.5,0,13.9,7,4.9,8.15,0,13.05,11,4.6,7.5,0,12.1,24
Nola Matthews,4.2,8.95,0,13.15,0,5.3,7.1,0,12.4,17,5.2,7.8,0,13,13,5.2,8.2,0,13.4,5
Marissa Neal,4.6,9,0,13.6,0,5.4,6.95,0,12.35,18,5,8,0,13,13,5.4,7.5,0,12.9,14
Eveylynn Lowe,4.6,9.15,0,13.75,0,5,7.9,0,12.9,13,5.4,6.95,0,12.35,20,5.4,7.4,-0.1,12.7,18
Charlotte Booth,4.6,9,0,13.6,0,5.4,7.7,0,13.1,11,4.8,7.7,0,12.5,19,5.1,7.4,0,12.5,20
Kayla DiCello,5,9,0,14,0,5.2,7.1,0,12.3,20,5.5,6.2,0,11.7,27,5.5,8,0,13.5,4
Jade Carey,5.6,8.35,0,13.95,0,5.1,6.95,0,12.05,22,5.7,6.45,0,12.15,24,5.9,7.45,0,13.35,6
Ashlee Sullivan,4.2,9,0,13.2,0,5.4,7.55,0,12.95,12,5.6,6.6,0,12.2,22,5.5,7.7,-0.1,13.1,12
Michelle Pineda,4.6,8.95,0,13.55,0,4.8,8,0,12.8,15,5,7.7,0,12.7,17,4.9,7.5,0,12.4,21
Dulcy Caylor,5,8.9,0,13.9,0,5,7,0,12,23,5.2,7,0,12.2,22,5.4,7.7,-0.2,12.9,14
Zoe Miller,4.6,8.55,0,13.15,0,5.3,6,-0.3,11,27,5.5,7.55,0,13.05,11,5,6.8,0,11.8,25
Kelise Woolford,4.2,8.55,-0.3,12.45,0,4.5,7.85,0,12.35,18,5.1,6.7,0,11.8,26,4.9,7.25,0,12.15,23
Levi Jung-Ruivivar,4.6,8.8,0,13.4,0,5.3,6.7,0,12,23,4.9,7.4,0,12.3,21,5,6.15,-0.6,10.55,26
Lexi Zeiss,4.6,8.85,0,13.45,0,5.9,7.8,0,13.7,9,0,0,0,0,28,0,0,0,0,27
Sunisa Lee,4.2,9.15,0,13.35,0,0,0,0,0,28,6,7.65,0,13.65,5,0,0,0,0,27
Elle Mueller,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,
