Name,VT_Diff,UE_Diff,BB_Diff,FX_Diff
Simone Biles,6.4,6.0,6.4,6.8
Shilese Jones,5.0,6.3,5.8,5.9
Skye Blakely,5.0,5.9,6.1,5.6
Leanne Wong,5.0,5.7,5.8,5.6
Jordan Chiles,5.0,5.9,5.2,5.6
Kaliya Lincoln,5.0,5.3,5.5,6.1
Amelia Disidore,5.0,5.1,5.8,5.6
Joscelyn Roberson,5.6,4.7,6.0,6.2
Katelyn Jong,5.0,6.0,5.5,5.6
Madray Johnson,4.6,5.0,5.7,5.1
Tiana Sumanasekera,5.0,5.4,5.8,5.3
Addison Fatta,5.0,5.5,5.2,5.1
Alicia Zhou,4.2,5.6,5.0,4.9
Myli Lew,4.2,5.4,4.9,4.6
Nola Matthews,4.2,5.3,5.2,5.2
Marissa Neal,4.6,5.4,5.0,5.4
Eveylynn Lowe,4.6,5.0,5.4,5.4
Charlotte Booth,4.6,5.4,4.8,5.1
Kayla DiCello,5.0,5.2,5.5,5.5
Jade Carey,5.6,5.1,5.7,5.9
Ashlee Sullivan,4.2,5.4,5.6,5.5
Michelle Pineda,4.6,4.8,5.0,4.9
Dulcy Caylor,5.0,5.0,5.2,5.4
Zoe Miller,4.6,5.3,5.5,5.0
Kelise Woolford,4.2,4.5,5.1,4.9
Levi Jung-Ruivivar,4.6,5.3,4.9,5.0
Lexi Zeiss,4.6,5.9,0.0,0.0
Sunisa Lee,4.2,0.0,6.0,0.0
Elle Mueller,0.0,0.0,0.0,0.0
