Vault,VT_Final,UE_Final,BB_Final,FX_Final
15.700,15.7,14.35,14.45,14.8
14.350,14.35,14.9,13.45,14.05
14.350,14.35,14.4,14.05,12.9
14.250,14.25,14.0,13.75,13.35
14.300,14.3,14.2,13.0,13.1
14.100,14.1,12.3,13.25,14.35
13.850,13.85,12.55,13.3,13.35
14.650,14.65,11.8,13.2,13.3
13.850,13.85,14.05,11.85,13.15
13.550,13.55,12.9,13.5,12.9
14.200,14.2,11.55,13.85,13.15
13.850,13.85,13.35,13.0,12.2
13.200,13.2,13.8,12.6,12.7
13.150,13.15,13.9,13.05,12.1
13.150,13.15,12.4,13.0,13.4
13.600,13.6,12.35,13.0,12.9
13.750,13.75,12.9,12.35,12.7
13.600,13.6,13.1,12.5,12.5
14.000,14.0,12.3,11.7,13.5
13.950,13.95,12.05,12.15,13.35
13.200,13.2,12.95,12.2,13.1
13.550,13.55,12.8,12.7,12.4
13.900,13.9,12.0,12.2,12.9
13.150,13.15,11.0,13.05,11.8
12.450,12.45,12.35,11.8,12.15
13.400,13.4,12.0,12.3,10.55
13.450,13.45,13.7,0.0,0.0
13.350,13.35,0.0,13.65,0.0
0.000,0.0,0.0,0.0,0.0
