trt.mosq,y.mosq
1,4.50
1,10.04
1,13.05
1,0.26
1,10.61
1,10.89
1,6.86
1,6.97
1,6.90
1,5.69
1,7.23
1,5.28
1,6.11
1,9.25
1,12.58
1,8.59
1,7.10
1,5.61
1,5.88
1,18.01
1,9.51
1,7.18
1,7.36
1,10.72
1,6.42
1,3.61
1,11.15
1,5.19
1,8.95
1,5.52
2,14.10
2,8.41
2,7.56
2,8.31
2,4.24
2,5.91
2,2.26
2,5.28
2,9.06
2,8.44
2,15.35
2,6.27
2,7.04
2,9.11
2,6.54
2,6.63
2,6.13
2,5.61
2,8.23
2,8.33
2,3.61
2,8.02
2,6.12
2,6.46
2,9.54
2,12.16
2,16.07
2,7.33
2,15.92
2,5.95
3,9.63
3,15.44
3,7.50
3,5.55
3,7.58
3,13.07
3,4.11
3,11.81
3,11.69
3,8.64
3,7.63
3,6.21
3,6.48
3,9.60
3,13.97
3,7.14
3,3.33
3,5.38
3,8.40
3,6.63
3,7.06
3,7.08
3,3.39
3,7.07
3,10.22
3,9.75
3,9.30
3,6.37
3,7.02
3,3.93
4,5.70
4,6.89
4,12.49
4,9.77
4,3.99
4,7.28
4,1.52
4,9.29
4,9.66
4,14.10
4,7.50
4,4.07
4,6.16
4,3.96
4,2.71
4,6.55
4,2.44
4,6.55
4,7.27
4,5.70
4,5.15
4,3.39
4,1.62
4,9.18
4,5.99
4,9.11
4,1.10
4,6.56
4,8.50
4,5.80
5,4.86
5,5.53
5,9.17
5,5.50
5,2.71
5,6.49
5,1.59
5,0.39
5,4.79
5,1.56
5,7.10
5,4.71
5,2.67
5,10.54
5,4.83
5,9.87
5,4.82
5,4.11
5,6.42
5,8.58
5,14.10
5,1.78
5,4.59
5,8.74
5,6.32
5,4.57
5,0.90
5,4.27
5,4.58
5,4.92
